date,Exxon
2011-08-21,29.58
2011-08-22,33.059999999999995
2011-08-23,27.259999999999998
2011-08-24,31.319999999999997
2011-08-25,34.8
2011-08-26,28.999999999999996
2011-08-27,23.779999999999998
2011-08-28,20.88
2011-08-29,35.96
2011-08-30,36.54
2011-08-31,43.5
2011-09-01,33.6
2011-09-02,33.12
2011-09-03,22.08
2011-09-04,27.36
2011-09-05,32.64
2011-09-06,29.759999999999998
2011-09-07,34.08
2011-09-08,43.68
2011-09-09,36.48
2011-09-10,26.88
2011-09-11,22.08
2011-09-12,35.519999999999996
2011-09-13,35.519999999999996
2011-09-14,39.36
2011-09-15,36.96
2011-09-16,42.239999999999995
2011-09-17,26.4
2011-09-18,22.08
2011-09-19,36.48
2011-09-20,41.76
2011-09-21,48.0
2011-09-22,42.72
2011-09-23,33.12
2011-09-24,22.08
2011-09-25,20.16
2011-09-26,38.879999999999995
2011-09-27,33.12
2011-09-28,36.0
2011-09-29,37.44
2011-09-30,32.64
2011-10-01,25.76
2011-10-02,21.62
2011-10-03,30.360000000000003
2011-10-04,26.68
2011-10-05,33.58
2011-10-06,37.72
2011-10-07,36.34
2011-10-08,19.78
2011-10-09,19.78
2011-10-10,27.14
2011-10-11,27.6
2011-10-12,28.98
2011-10-13,31.740000000000002
2011-10-14,32.2
2011-10-15,24.84
2011-10-16,22.540000000000003
2011-10-17,30.82
2011-10-18,30.82
2011-10-19,28.52
2011-10-20,23.92
2011-10-21,30.360000000000003
2011-10-22,20.7
2011-10-23,22.540000000000003
2011-10-24,28.52
2011-10-25,32.660000000000004
2011-10-26,38.18
2011-10-27,46.0
2011-10-28,33.120000000000005
2011-10-29,23.0
2011-10-30,22.080000000000002
2011-10-31,31.740000000000002
2011-11-01,40.48
2011-11-02,41.8
2011-11-03,38.72
2011-11-04,38.72
2011-11-05,21.56
2011-11-06,22.0
2011-11-07,36.52
2011-11-08,38.28
2011-11-09,31.24
2011-11-10,37.4
2011-11-11,38.28
2011-11-12,26.4
2011-11-13,28.6
2011-11-14,35.64
2011-11-15,44.0
2011-11-16,43.56
2011-11-17,39.6
2011-11-18,38.72
2011-11-19,27.72
2011-11-20,28.16
2011-11-21,39.160000000000004
2011-11-22,33.0
2011-11-23,38.28
2011-11-24,17.16
2011-11-25,33.44
2011-11-26,24.2
2011-11-27,29.04
2011-11-28,35.2
2011-11-29,31.24
2011-11-30,44.0
2011-12-01,34.85
2011-12-02,29.52
2011-12-03,24.189999999999998
2011-12-04,21.32
2011-12-05,35.26
2011-12-06,30.34
2011-12-07,29.93
2011-12-08,41.0
2011-12-09,29.52
2011-12-10,25.009999999999998
2011-12-11,17.63
2011-12-12,26.65
2011-12-13,35.669999999999995
2011-12-14,26.24
2011-12-15,33.62
2011-12-16,30.749999999999996
2011-12-17,27.06
2011-12-18,19.68
2011-12-19,26.24
2011-12-20,27.06
2011-12-21,30.34
2011-12-22,27.88
2011-12-23,31.569999999999997
2011-12-24,18.86
2011-12-25,23.779999999999998
