,Microsoft,Apple,Amazon,Google,Facebook,Johnson & Johnson,Walmart,Procter & Gamble,JPMorgan Chase,UnitedHealth Group,Intel,Verizon,AT&T,The Home Depot,Merck,Pfizer,CocaCola,Bank of America,Netflix,Pepsi,Disney,Cisco,NVIDIA,Exxon,Abbott Laboratories,Oracle,Comcast,Adobe,Chevron,Eli Lilly,Covid-19,Pandemic,presidential election,Lockdown,Face masks,Coronavirus,Quarantine,EDD,sba loans,unemployment check,swine flu,flu,zika
2011-01-16,75.0,28.71,31.96,37.35,75.69,32.4,33.6,21.76,40.28,17.939999999999994,81.0,38.0,50.7,17.82,42.3,29.14,43.0,37.38,64.5,21.32,48.0,32.64,95.0,16.8,19.44,23.49,76.26,82.45,15.58,27.6,0.0,1.26,0.33,1.0,0.31,0.0,1.0,7.8,1.35,2.01,3.95,7.7,0.0
2011-01-17,88.0,28.380000000000006,30.6,40.05,66.99,56.16,30.4,50.56,53.2,28.98,79.0,35.0,53.95,17.28,52.64,24.18,34.5,47.17,57.0,18.2,38.88,56.64,73.0,26.88,18.36,53.94,76.26,86.33,18.24,45.08000000000001,0.0,1.2,0.44,0.62,0.3,0.0,0.7000000000000001,10.2,2.9000000000000004,2.64,3.75,8.03,0.0
2011-01-18,97.0,30.03,28.9,41.4,62.64,61.2,25.6,23.68,39.52,27.6,81.0,33.0,51.35,12.78,65.8,57.04,26.0,51.62,44.25,26.0,32.16,73.92,85.0,29.4,31.860000000000007,73.08,81.84,90.21,22.42,57.96,0.0,1.12,0.56,0.94,0.33,0.0,0.56,11.1,2.0500000000000003,2.28,3.5,9.9,0.0
2011-01-19,95.0,26.07,30.26,43.2,63.51,58.32,26.0,32.0,60.04,34.5,79.0,33.0,50.7,10.98,54.52,45.26,39.0,53.4,45.0,19.24,30.24,85.44,74.0,31.08,24.3,74.82,77.19,95.06,21.66,83.72,0.0,1.5,0.71,1.38,0.42,0.0,0.49,12.6,2.75,2.49,4.7,9.68,0.0
2011-01-20,97.0,25.74,29.58,45.0,64.38,51.12,25.6,32.0,26.6,41.4,82.0,32.0,50.05,13.68,64.86,30.38,17.5,51.62,43.5,21.06,32.16,84.47999999999998,83.0,30.24,19.98,77.42999999999998,73.47,96.03,22.04,52.44000000000001,0.0,1.36,0.8200000000000001,1.52,0.24,0.0,0.43,15.0,2.4000000000000004,1.44,2.85,8.58,0.0
2011-01-21,87.0,26.4,28.56,43.65,66.12,60.48,27.6,32.64,65.36,35.19,78.0,33.0,50.05,10.98,49.82,44.64,13.5,56.96,45.0,21.84,33.6,79.67999999999998,79.0,28.56,30.24,72.21,77.19,95.06,24.7,92.0,0.0,1.54,0.66,1.32,0.19,0.0,0.51,13.2,3.2,2.16,3.35,8.58,0.0
2011-01-22,77.0,28.71,30.6,40.95,76.56,28.08,33.2,20.48,12.92,17.25,77.0,32.0,52.65,13.68,31.02,26.66,39.0,51.62,67.5,21.06,38.4,40.32,89.0,23.52,22.14,26.97,92.07,79.53999999999998,12.16,68.08,0.0,0.98,0.6,1.18,0.37,0.0,0.76,8.85,2.0,1.47,2.0,8.91,0.0
2011-01-23,81.0,29.040000000000006,32.300000000000004,37.8,74.82,33.84,32.0,20.48,12.92,0.0,72.0,31.0,48.1,18.0,29.14,16.12,50.0,37.38,67.5,21.84,41.28,34.56,94.0,18.48,15.66,24.36,70.68,84.39,15.2,41.4,0.0,1.32,0.29,0.68,0.49,0.0,0.51,7.5,1.8,1.83,2.75,9.35,0.0
2011-01-24,97.0,24.09,28.9,39.6,62.64,65.52,27.6,32.0,37.24,69.0,78.0,34.0,50.05,17.82,73.32,56.42,43.5,50.73,45.0,20.8,31.2,79.67999999999998,82.0,27.72,17.28,69.6,74.4,88.27,22.42,89.24000000000002,0.0,1.62,0.84,1.26,0.33,0.0,0.6,12.9,3.45,2.31,2.4000000000000004,9.79,0.0
2011-01-25,95.0,23.76,27.200000000000006,43.2,63.51,61.92,26.4,39.04,59.28,20.01,82.0,33.0,50.7,11.34,71.44,62.0,17.0,50.73,43.5,23.14,30.24,96.0,81.0,31.08,19.44,87.0,74.4,97.0,19.38,82.8,0.0,1.34,0.49,0.94,0.47,0.0,0.45,12.45,4.4,2.46,4.3500000000000005,10.78,0.0
2011-01-26,100.0,23.43,27.200000000000006,42.3,65.25,72.0,25.6,39.68,42.56,33.809999999999995,82.0,32.0,48.1,12.24,57.34,34.1,47.0,48.95,42.75,22.1,29.76,85.44,87.0,30.24,48.6,74.82,66.96000000000001,96.03,20.52,67.16,0.0,1.52,1.0,1.04,0.23,0.0,0.68,12.3,4.75,1.68,3.6,11.0,0.0
2011-01-27,96.0,24.09,27.540000000000006,41.85,65.25,62.64,26.0,64.0,40.28,48.3,81.0,30.0,46.8,11.52,54.52,42.16,21.5,48.95,44.25,21.06,30.72,79.67999999999998,77.0,28.98,54.0,68.73,71.61,94.09,21.28,63.48,0.0,1.34,0.64,2.0,0.42,0.0,0.88,12.45,4.1000000000000005,2.46,4.25,10.56,0.0
2011-01-28,92.0,24.42,26.520000000000003,41.85,66.12,56.88,27.6,16.64,52.44,49.67999999999999,77.0,32.0,47.45,13.32,62.04,40.92,18.0,56.07,50.25,21.06,30.24,83.52,81.0,36.12,33.480000000000004,80.04,75.33,92.15,28.12,38.64,0.0,1.4,0.64,1.26,0.49,0.0,0.72,10.8,5.0,1.2,2.6500000000000004,9.79,0.0
2011-01-29,79.0,27.72,29.58,40.05,77.42999999999998,24.48,33.2,0.0,25.84,35.19,75.0,33.0,48.75,16.56,21.62,35.34,33.0,53.4,66.0,17.94,39.84,44.16,85.0,36.12,28.08,27.84,82.77000000000002,85.36,22.8,66.24000000000001,0.0,1.62,0.5,0.88,0.54,0.0,0.46,8.549999999999999,1.95,1.44,5.0,10.01,0.0
