date,The Home Depot
2011-08-28,18.689999999999998
2011-08-29,16.38
2011-08-30,17.849999999999998
2011-08-31,15.33
2011-09-01,15.33
2011-09-02,13.65
2011-09-03,16.8
2011-09-04,16.169999999999998
2011-09-05,21.0
2011-09-06,13.86
2011-09-07,13.44
2011-09-08,10.92
2011-09-09,11.549999999999999
2011-09-10,13.44
2011-09-11,13.65
2011-09-12,13.65
2011-09-13,11.76
2011-09-14,14.7
2011-09-15,10.08
2011-09-16,12.18
2011-09-17,13.86
2011-09-18,16.59
2011-09-19,11.34
2011-09-20,11.76
2011-09-21,11.549999999999999
2011-09-22,9.66
2011-09-23,9.45
2011-09-24,13.229999999999999
2011-09-25,15.75
2011-09-26,14.91
2011-09-27,11.76
2011-09-28,10.709999999999999
2011-09-29,10.709999999999999
2011-09-30,10.92
2011-10-01,16.919999999999998
2011-10-02,17.46
2011-10-03,18.0
2011-10-04,13.68
2011-10-05,11.16
2011-10-06,16.2
2011-10-07,14.399999999999999
2011-10-08,14.58
2011-10-09,11.7
2011-10-10,15.299999999999999
2011-10-11,12.959999999999999
2011-10-12,11.34
2011-10-13,10.44
2011-10-14,12.24
2011-10-15,14.399999999999999
2011-10-16,17.099999999999998
2011-10-17,12.959999999999999
2011-10-18,13.139999999999999
2011-10-19,13.68
2011-10-20,11.879999999999999
2011-10-21,13.32
2011-10-22,14.399999999999999
2011-10-23,15.479999999999999
2011-10-24,10.62
2011-10-25,12.42
2011-10-26,14.76
2011-10-27,14.04
2011-10-28,14.219999999999999
2011-10-29,14.219999999999999
2011-10-30,15.479999999999999
2011-10-31,14.219999999999999
2011-11-01,9.66
2011-11-02,9.87
2011-11-03,12.389999999999999
2011-11-04,9.66
2011-11-05,12.6
2011-11-06,11.969999999999999
2011-11-07,11.34
2011-11-08,11.549999999999999
2011-11-09,9.03
2011-11-10,14.49
2011-11-11,9.24
2011-11-12,11.76
2011-11-13,13.86
2011-11-14,12.18
2011-11-15,9.45
2011-11-16,10.92
2011-11-17,12.6
2011-11-18,12.809999999999999
2011-11-19,13.229999999999999
2011-11-20,15.959999999999999
2011-11-21,12.6
2011-11-22,11.549999999999999
2011-11-23,11.76
2011-11-24,17.22
2011-11-25,21.0
2011-11-26,15.75
2011-11-27,12.389999999999999
2011-11-28,11.34
2011-11-29,16.169999999999998
2011-11-30,10.92
2011-12-01,12.73
2011-12-02,13.3
2011-12-03,13.68
2011-12-04,18.43
2011-12-05,16.72
2011-12-06,12.92
2011-12-07,14.06
2011-12-08,15.01
2011-12-09,12.35
2011-12-10,11.78
2011-12-11,15.39
2011-12-12,14.06
2011-12-13,12.92
2011-12-14,10.64
2011-12-15,12.35
2011-12-16,12.73
2011-12-17,12.92
2011-12-18,15.01
2011-12-19,12.540000000000001
2011-12-20,14.63
2011-12-21,12.92
2011-12-22,15.77
2011-12-23,10.83
2011-12-24,10.45
2011-12-25,7.6
2011-12-26,17.86
2011-12-27,19.0
2011-12-28,14.44
2011-12-29,15.96
2011-12-30,16.91
2011-12-31,14.25
2012-01-01,17.48
2012-01-02,14.82
2012-01-03,15.01
2012-01-04,13.49
2012-01-05,13.3
2012-01-06,13.68
2012-01-07,17.48
2012-01-08,17.67
2012-01-09,13.11
2012-01-10,13.3
2012-01-11,12.16
2012-01-12,13.68
2012-01-13,17.48
2012-01-14,16.72
2012-01-15,16.53
2012-01-16,13.870000000000001
2012-01-17,19.0
2012-01-18,13.68
2012-01-19,12.35
2012-01-20,13.870000000000001
2012-01-21,14.06
2012-01-22,16.34
2012-01-23,13.68
2012-01-24,15.39
2012-01-25,12.73
2012-01-26,11.4
2012-01-27,8.93
2012-01-28,14.44
2012-01-29,15.77
2012-01-30,16.34
2012-01-31,11.97
2012-02-01,15.01
2012-02-02,14.63
2012-02-03,13.870000000000001
2012-02-04,18.81
2012-02-05,13.11
2012-02-06,17.48
2012-02-07,15.96
2012-02-08,15.58
2012-02-09,14.25
2012-02-10,11.4
