date,Cisco
2011-08-25,82.45
2011-08-26,71.78
2011-08-27,35.89
2011-08-28,35.89
2011-08-29,78.57
2011-08-30,80.50999999999999
2011-08-31,86.33
2011-09-01,85.5
2011-09-02,71.10000000000001
2011-09-03,37.800000000000004
2011-09-04,36.9
2011-09-05,43.2
2011-09-06,79.2
2011-09-07,83.7
2011-09-08,85.5
2011-09-09,80.10000000000001
2011-09-10,38.7
2011-09-11,31.5
2011-09-12,72.9
2011-09-13,90.0
2011-09-14,86.4
2011-09-15,81.9
2011-09-16,83.7
2011-09-17,45.0
2011-09-18,38.7
2011-09-19,86.4
2011-09-20,85.5
2011-09-21,87.3
2011-09-22,79.2
2011-09-23,79.2
2011-09-24,43.2
2011-09-25,37.800000000000004
2011-09-26,79.2
2011-09-27,83.7
2011-09-28,83.7
2011-09-29,82.8
2011-09-30,77.4
2011-10-01,36.54
2011-10-02,35.67
2011-10-03,82.65
2011-10-04,80.04
2011-10-05,80.04
2011-10-06,86.13
2011-10-07,73.08
2011-10-08,40.02
2011-10-09,33.93
2011-10-10,74.82
2011-10-11,82.65
2011-10-12,86.13
2011-10-13,87.0
2011-10-14,80.91
2011-10-15,36.54
2011-10-16,29.58
2011-10-17,76.56
2011-10-18,79.17
2011-10-19,87.0
2011-10-20,81.78
2011-10-21,74.82
2011-10-22,39.15
2011-10-23,33.93
2011-10-24,79.17
2011-10-25,85.26
2011-10-26,81.78
2011-10-27,79.17
2011-10-28,78.3
2011-10-29,33.93
2011-10-30,37.41
2011-10-31,73.08
2011-11-01,86.0
2011-11-02,79.98
2011-11-03,73.96
2011-11-04,69.66
2011-11-05,36.98
2011-11-06,30.96
2011-11-07,73.1
2011-11-08,80.84
2011-11-09,80.84
2011-11-10,75.67999999999999
2011-11-11,64.5
2011-11-12,36.98
2011-11-13,30.099999999999998
2011-11-14,65.36
2011-11-15,79.12
2011-11-16,78.26
2011-11-17,77.4
2011-11-18,67.94
2011-11-19,36.98
2011-11-20,31.82
2011-11-21,66.22
2011-11-22,70.52
2011-11-23,62.78
2011-11-24,39.56
2011-11-25,42.14
2011-11-26,30.099999999999998
2011-11-27,26.66
2011-11-28,57.62
2011-11-29,73.1
2011-11-30,76.53999999999999
2011-12-01,74.26
2011-12-02,70.31
2011-12-03,33.97
2011-12-04,37.13
2011-12-05,68.73
2011-12-06,72.68
2011-12-07,79.0
2011-12-08,75.05
2011-12-09,71.89
2011-12-10,38.71
2011-12-11,33.18
2011-12-12,73.47
2011-12-13,73.47
2011-12-14,68.73
2011-12-15,70.31
2011-12-16,67.15
2011-12-17,33.18
2011-12-18,32.39
2011-12-19,59.25
2011-12-20,64.78
2011-12-21,70.31
2011-12-22,66.36
2011-12-23,49.77
2011-12-24,29.23
2011-12-25,35.550000000000004
2011-12-26,45.03
2011-12-27,53.72
2011-12-28,58.46
2011-12-29,56.88
2011-12-30,46.61
2011-12-31,29.23
2012-01-01,26.88
2012-01-02,32.76
2012-01-03,64.67999999999999
2012-01-04,74.75999999999999
2012-01-05,68.88
2012-01-06,69.72
2012-01-07,31.08
2012-01-08,33.6
2012-01-09,68.03999999999999
2012-01-10,68.88
2012-01-11,84.0
2012-01-12,73.08
2012-01-13,70.56
2012-01-14,36.12
2012-01-15,32.76
2012-01-16,63.839999999999996
2012-01-17,76.44
2012-01-18,78.11999999999999
2012-01-19,78.96
2012-01-20,68.03999999999999
2012-01-21,38.64
2012-01-22,31.08
2012-01-23,70.56
2012-01-24,79.8
2012-01-25,75.6
2012-01-26,78.11999999999999
2012-01-27,73.08
2012-01-28,40.32
2012-01-29,38.64
2012-01-30,70.56
2012-01-31,77.28
2012-02-01,81.9
2012-02-02,77.4
2012-02-03,72.0
2012-02-04,44.1
2012-02-05,30.6
2012-02-06,65.7
2012-02-07,77.4
2012-02-08,90.0
2012-02-09,89.10000000000001
2012-02-10,80.10000000000001
2012-02-11,45.9
2012-02-12,33.300000000000004
2012-02-13,70.2
2012-02-14,72.9
2012-02-15,86.4
2012-02-16,82.8
2012-02-17,66.60000000000001
2012-02-18,41.4
2012-02-19,32.4
2012-02-20,60.300000000000004
2012-02-21,79.2
2012-02-22,82.8
2012-02-23,75.60000000000001
2012-02-24,71.10000000000001
2012-02-25,38.7
2012-02-26,36.0
2012-02-27,74.7
2012-02-28,80.10000000000001
2012-02-29,84.60000000000001
2012-03-01,87.0
2012-03-02,84.39
2012-03-03,40.02
2012-03-04,38.28
2012-03-05,80.91
2012-03-06,87.0
2012-03-07,84.39
2012-03-08,83.52
2012-03-09,70.47
2012-03-10,40.02
2012-03-11,36.54
2012-03-12,73.08
2012-03-13,80.04
2012-03-14,76.56
2012-03-15,83.52
2012-03-16,76.56
2012-03-17,37.41
2012-03-18,34.8
2012-03-19,73.08
2012-03-20,79.17
2012-03-21,85.26
2012-03-22,81.78
2012-03-23,73.08
2012-03-24,38.28
2012-03-25,34.8
2012-03-26,76.56
2012-03-27,84.39
2012-03-28,78.3
2012-03-29,84.39
2012-03-30,73.95
2012-03-31,40.89
2012-04-01,33.15
2012-04-02,69.7
2012-04-03,72.25
2012-04-04,79.89999999999999
2012-04-05,74.8
2012-04-06,66.3
2012-04-07,31.45
2012-04-08,31.45
2012-04-09,65.45
2012-04-10,81.6
2012-04-11,73.1
2012-04-12,71.39999999999999
2012-04-13,65.45
2012-04-14,33.15
2012-04-15,34.0
2012-04-16,72.25
2012-04-17,79.89999999999999
2012-04-18,85.0
2012-04-19,74.8
2012-04-20,73.95
2012-04-21,39.1
2012-04-22,30.599999999999998
2012-04-23,71.39999999999999
2012-04-24,73.95
2012-04-25,81.6
2012-04-26,78.2
2012-04-27,68.0
2012-04-28,36.55
2012-04-29,32.3
2012-04-30,70.55
2012-05-01,76.56
2012-05-02,80.96
2012-05-03,78.32000000000001
2012-05-04,71.28
2012-05-05,36.08
2012-05-06,34.32
2012-05-07,82.72
2012-05-08,80.96
2012-05-09,84.48
2012-05-10,88.0
2012-05-11,75.68
2012-05-12,38.72
2012-05-13,33.44
2012-05-14,79.2
2012-05-15,80.08
2012-05-16,85.36
2012-05-17,79.2
2012-05-18,77.44
2012-05-19,36.96
2012-05-20,36.08
2012-05-21,74.8
2012-05-22,88.0
2012-05-23,86.24
2012-05-24,78.32000000000001
2012-05-25,69.52
2012-05-26,32.56
2012-05-27,33.44
2012-05-28,36.08
2012-05-29,69.52
2012-05-30,75.68
2012-05-31,80.08
2012-06-01,73.96
2012-06-02,39.56
2012-06-03,33.54
2012-06-04,72.24
2012-06-05,77.4
2012-06-06,77.4
2012-06-07,78.26
2012-06-08,73.96
2012-06-09,36.12
2012-06-10,33.54
2012-06-11,72.24
2012-06-12,79.12
2012-06-13,85.14
2012-06-14,79.12
2012-06-15,66.22
2012-06-16,35.26
2012-06-17,29.24
2012-06-18,73.96
2012-06-19,83.42
2012-06-20,85.14
2012-06-21,86.0
2012-06-22,66.22
2012-06-23,34.4
2012-06-24,33.54
2012-06-25,71.38
2012-06-26,79.12
2012-06-27,79.98
2012-06-28,79.98
2012-06-29,67.94
2012-06-30,39.56
2012-07-01,33.15
2012-07-02,69.7
2012-07-03,73.1
2012-07-04,42.5
2012-07-05,71.39999999999999
2012-07-06,73.1
2012-07-07,34.0
2012-07-08,34.0
2012-07-09,73.1
2012-07-10,77.35
2012-07-11,79.05
2012-07-12,80.75
2012-07-13,73.95
2012-07-14,34.85
2012-07-15,34.0
2012-07-16,68.85
2012-07-17,74.8
2012-07-18,75.64999999999999
2012-07-19,73.1
2012-07-20,72.25
2012-07-21,37.4
2012-07-22,34.0
2012-07-23,77.35
2012-07-24,85.0
2012-07-25,83.3
2012-07-26,80.75
2012-07-27,73.95
2012-07-28,34.85
2012-07-29,34.0
2012-07-30,75.64999999999999
2012-07-31,73.1
2012-08-01,79.17
2012-08-02,70.47
2012-08-03,74.82
2012-08-04,35.67
2012-08-05,35.67
