date,Bank of America
2011-10-05,71.78
2011-10-06,67.89999999999999
2011-10-07,70.81
2011-10-08,63.05
2011-10-09,46.56
2011-10-10,58.199999999999996
2011-10-11,60.14
2011-10-12,57.23
2011-10-13,59.17
2011-10-14,69.84
2011-10-15,56.26
2011-10-16,43.65
2011-10-17,60.14
2011-10-18,60.14
2011-10-19,58.199999999999996
2011-10-20,60.14
2011-10-21,65.96
2011-10-22,57.23
2011-10-23,46.56
2011-10-24,58.199999999999996
2011-10-25,59.17
2011-10-26,56.26
2011-10-27,58.199999999999996
2011-10-28,65.96
2011-10-29,59.17
2011-10-30,44.62
2011-10-31,64.02
2011-11-01,90.0
2011-11-02,77.4
2011-11-03,74.7
2011-11-04,84.60000000000001
2011-11-05,71.10000000000001
2011-11-06,55.800000000000004
2011-11-07,72.0
2011-11-08,71.10000000000001
2011-11-09,69.3
2011-11-10,77.4
2011-11-11,74.7
2011-11-12,71.10000000000001
2011-11-13,51.300000000000004
2011-11-14,75.60000000000001
2011-11-15,77.4
2011-11-16,72.9
2011-11-17,72.0
2011-11-18,78.3
2011-11-19,69.3
2011-11-20,53.1
2011-11-21,68.4
2011-11-22,72.9
2011-11-23,74.7
2011-11-24,56.7
2011-11-25,73.8
2011-11-26,67.5
2011-11-27,56.7
2011-11-28,71.10000000000001
2011-11-29,71.10000000000001
2011-11-30,74.7
2011-12-01,78.32000000000001
2011-12-02,81.88
2011-12-03,73.87
2011-12-04,58.74
2011-12-05,73.87
2011-12-06,72.98
2011-12-07,72.98
2011-12-08,70.31
2011-12-09,78.32000000000001
2011-12-10,70.31
2011-12-11,55.18
2011-12-12,71.2
2011-12-13,72.09
2011-12-14,72.09
2011-12-15,75.65
2011-12-16,80.99
2011-12-17,73.87
2011-12-18,56.07
2011-12-19,72.09
2011-12-20,76.54
2011-12-21,76.54
2011-12-22,77.43
2011-12-23,82.77
2011-12-24,67.64
2011-12-25,39.160000000000004
2011-12-26,64.08
2011-12-27,75.65
2011-12-28,77.43
2011-12-29,77.43
2011-12-30,89.0
2011-12-31,70.31
2012-01-01,48.16
2012-01-02,68.8
2012-01-03,78.26
2012-01-04,74.82
2012-01-05,73.96
2012-01-06,79.12
2012-01-07,68.8
2012-01-08,52.46
2012-01-09,78.26
2012-01-10,73.1
2012-01-11,71.38
2012-01-12,76.53999999999999
2012-01-13,86.0
2012-01-14,70.52
2012-01-15,50.74
2012-01-16,63.64
2012-01-17,70.52
2012-01-18,72.24
2012-01-19,70.52
2012-01-20,75.67999999999999
2012-01-21,65.36
2012-01-22,45.58
2012-01-23,59.339999999999996
2012-01-24,69.66
2012-01-25,62.78
2012-01-26,64.5
2012-01-27,69.66
2012-01-28,64.5
2012-01-29,49.88
2012-01-30,67.08
2012-01-31,73.96
2012-02-01,84.0
2012-02-02,74.75999999999999
2012-02-03,83.16
2012-02-04,76.44
2012-02-05,52.919999999999995
2012-02-06,73.08
2012-02-07,76.44
2012-02-08,71.39999999999999
2012-02-09,73.08
2012-02-10,79.8
2012-02-11,73.08
2012-02-12,49.559999999999995
2012-02-13,66.36
2012-02-14,73.08
2012-02-15,79.8
