date,EDD
2011-08-17,12.15
2011-08-18,13.049999999999999
2011-08-19,12.9
2011-08-20,9.6
2011-08-21,7.6499999999999995
2011-08-22,14.549999999999999
2011-08-23,11.7
2011-08-24,12.9
2011-08-25,12.45
2011-08-26,13.049999999999999
2011-08-27,8.85
2011-08-28,8.1
2011-08-29,15.0
2011-08-30,13.5
2011-08-31,12.0
2011-09-01,13.770000000000001
2011-09-02,13.260000000000002
2011-09-03,8.33
2011-09-04,8.67
2011-09-05,7.140000000000001
2011-09-06,13.430000000000001
2011-09-07,16.150000000000002
2011-09-08,14.96
2011-09-09,15.98
2011-09-10,9.860000000000001
2011-09-11,9.180000000000001
2011-09-12,16.490000000000002
2011-09-13,14.450000000000001
2011-09-14,12.750000000000002
2011-09-15,11.39
2011-09-16,14.110000000000001
2011-09-17,9.180000000000001
2011-09-18,8.5
2011-09-19,17.0
2011-09-20,14.110000000000001
2011-09-21,15.47
2011-09-22,13.090000000000002
2011-09-23,14.280000000000001
2011-09-24,8.84
2011-09-25,9.180000000000001
2011-09-26,16.830000000000002
2011-09-27,15.64
2011-09-28,14.790000000000001
2011-09-29,16.66
2011-09-30,16.32
2011-10-01,9.5
2011-10-02,10.07
2011-10-03,16.91
2011-10-04,15.01
2011-10-05,16.34
2011-10-06,16.15
2011-10-07,15.2
2011-10-08,9.69
2011-10-09,11.4
2011-10-10,15.77
2011-10-11,16.34
2011-10-12,17.29
2011-10-13,16.91
2011-10-14,19.0
2011-10-15,11.59
2011-10-16,10.45
2011-10-17,15.77
2011-10-18,18.62
2011-10-19,14.44
2011-10-20,15.58
2011-10-21,14.82
2011-10-22,12.540000000000001
2011-10-23,11.59
2011-10-24,18.05
2011-10-25,15.77
2011-10-26,15.39
2011-10-27,15.77
2011-10-28,13.68
2011-10-29,10.07
2011-10-30,11.78
2011-10-31,16.91
2011-11-01,17.1
2011-11-02,14.25
2011-11-03,13.49
2011-11-04,15.96
2011-11-05,11.02
2011-11-06,9.31
2011-11-07,15.96
2011-11-08,13.870000000000001
2011-11-09,13.68
2011-11-10,13.11
2011-11-11,11.21
2011-11-12,7.22
2011-11-13,10.45
2011-11-14,15.2
2011-11-15,15.01
2011-11-16,14.63
2011-11-17,14.06
2011-11-18,15.39
2011-11-19,10.07
2011-11-20,11.97
2011-11-21,15.39
2011-11-22,16.72
2011-11-23,13.3
2011-11-24,8.36
2011-11-25,10.26
2011-11-26,11.97
2011-11-27,10.45
2011-11-28,16.91
2011-11-29,19.0
2011-11-30,15.96
2011-12-01,15.4
2011-12-02,14.200000000000001
2011-12-03,13.200000000000001
2011-12-04,13.600000000000001
2011-12-05,13.600000000000001
2011-12-06,14.8
2011-12-07,13.200000000000001
2011-12-08,15.200000000000001
2011-12-09,13.0
2011-12-10,10.200000000000001
2011-12-11,14.600000000000001
2011-12-12,15.8
2011-12-13,19.400000000000002
2011-12-14,16.400000000000002
2011-12-15,15.600000000000001
2011-12-16,15.4
2011-12-17,14.4
2011-12-18,13.4
2011-12-19,16.400000000000002
2011-12-20,20.0
2011-12-21,18.2
2011-12-22,17.2
2011-12-23,16.8
2011-12-24,9.200000000000001
2011-12-25,9.4
2011-12-26,12.600000000000001
2011-12-27,17.8
2011-12-28,19.6
2011-12-29,16.400000000000002
2011-12-30,19.0
2011-12-31,12.200000000000001
2012-01-01,11.5
2012-01-02,15.64
2012-01-03,23.0
2012-01-04,22.310000000000002
2012-01-05,20.01
2012-01-06,22.080000000000002
2012-01-07,13.34
2012-01-08,12.88
2012-01-09,19.09
2012-01-10,22.080000000000002
2012-01-11,18.630000000000003
2012-01-12,20.470000000000002
2012-01-13,19.55
2012-01-14,13.8
2012-01-15,11.5
2012-01-16,15.41
2012-01-17,19.78
2012-01-18,22.77
2012-01-19,19.09
2012-01-20,19.32
2012-01-21,12.65
2012-01-22,11.5
2012-01-23,19.32
2012-01-24,22.080000000000002
2012-01-25,20.7
2012-01-26,18.400000000000002
2012-01-27,19.09
2012-01-28,12.42
2012-01-29,11.96
2012-01-30,17.71
2012-01-31,22.080000000000002
2012-02-01,19.580000000000002
2012-02-02,18.92
2012-02-03,16.5
2012-02-04,11.66
2012-02-05,11.0
2012-02-06,19.36
2012-02-07,22.0
2012-02-08,18.7
2012-02-09,20.24
2012-02-10,18.04
2012-02-11,13.64
2012-02-12,12.540000000000001
2012-02-13,16.28
2012-02-14,20.02
2012-02-15,18.48
2012-02-16,19.36
2012-02-17,17.82
2012-02-18,14.52
2012-02-19,12.32
2012-02-20,15.18
2012-02-21,21.78
2012-02-22,20.24
2012-02-23,20.46
2012-02-24,17.38
2012-02-25,13.86
2012-02-26,13.64
2012-02-27,17.6
2012-02-28,19.36
2012-02-29,18.7
2012-03-01,11.66
2012-03-02,12.76
2012-03-03,8.8
2012-03-04,8.14
2012-03-05,12.98
2012-03-06,12.540000000000001
2012-03-07,10.78
2012-03-08,11.88
2012-03-09,11.22
2012-03-10,8.14
2012-03-11,7.92
2012-03-12,12.32
2012-03-13,11.66
2012-03-14,12.76
2012-03-15,12.98
2012-03-16,10.56
2012-03-17,8.36
2012-03-18,9.24
2012-03-19,12.540000000000001
2012-03-20,12.1
2012-03-21,11.44
2012-03-22,10.34
2012-03-23,10.78
2012-03-24,8.14
2012-03-25,7.7
2012-03-26,12.540000000000001
2012-03-27,13.2
2012-03-28,22.0
2012-03-29,17.38
2012-03-30,14.52
2012-03-31,9.02
2012-04-01,14.74
2012-04-02,20.68
2012-04-03,21.34
2012-04-04,18.92
2012-04-05,19.14
2012-04-06,15.62
2012-04-07,12.76
2012-04-08,13.2
2012-04-09,17.6
2012-04-10,19.14
2012-04-11,18.04
2012-04-12,20.24
2012-04-13,15.84
2012-04-14,14.08
2012-04-15,13.64
2012-04-16,20.9
2012-04-17,19.14
2012-04-18,18.7
2012-04-19,18.04
2012-04-20,15.84
2012-04-21,13.2
2012-04-22,13.64
2012-04-23,20.02
2012-04-24,18.92
2012-04-25,18.92
2012-04-26,16.5
2012-04-27,16.94
2012-04-28,12.76
2012-04-29,13.86
2012-04-30,22.0
2012-05-01,19.95
2012-05-02,18.06
2012-05-03,16.8
2012-05-04,17.64
2012-05-05,11.129999999999999
2012-05-06,12.389999999999999
2012-05-07,18.689999999999998
2012-05-08,19.74
2012-05-09,16.8
2012-05-10,16.169999999999998
2012-05-11,16.59
2012-05-12,14.28
2012-05-13,13.02
2012-05-14,19.74
2012-05-15,17.43
2012-05-16,18.06
2012-05-17,17.009999999999998
2012-05-18,15.54
2012-05-19,15.54
2012-05-20,12.389999999999999
2012-05-21,18.9
2012-05-22,18.48
2012-05-23,16.59
2012-05-24,16.8
2012-05-25,17.009999999999998
2012-05-26,11.129999999999999
2012-05-27,13.02
2012-05-28,13.02
2012-05-29,19.32
2012-05-30,21.0
2012-05-31,16.8
2012-06-01,19.580000000000002
2012-06-02,11.0
2012-06-03,13.86
2012-06-04,19.8
2012-06-05,20.9
2012-06-06,16.28
2012-06-07,18.48
2012-06-08,16.5
2012-06-09,11.66
2012-06-10,14.08
2012-06-11,19.8
2012-06-12,21.34
2012-06-13,16.72
2012-06-14,15.62
2012-06-15,17.38
2012-06-16,13.2
2012-06-17,16.06
2012-06-18,20.46
2012-06-19,22.0
2012-06-20,19.36
2012-06-21,17.16
2012-06-22,16.5
2012-06-23,13.86
2012-06-24,14.08
2012-06-25,20.46
2012-06-26,21.56
2012-06-27,18.04
2012-06-28,16.28
2012-06-29,19.580000000000002
2012-06-30,16.06
2012-07-01,17.52
2012-07-02,24.0
2012-07-03,18.72
2012-07-04,16.08
2012-07-05,19.2
2012-07-06,21.599999999999998
2012-07-07,12.719999999999999
2012-07-08,15.12
2012-07-09,21.36
2012-07-10,19.919999999999998
2012-07-11,19.68
2012-07-12,18.96
2012-07-13,20.88
2012-07-14,14.16
2012-07-15,14.399999999999999
2012-07-16,22.08
2012-07-17,23.279999999999998
2012-07-18,19.2
2012-07-19,17.28
