date,Comcast
2011-08-21,73.60000000000001
2011-08-22,86.48
2011-08-23,80.96000000000001
2011-08-24,77.28
2011-08-25,75.44
2011-08-26,77.28
2011-08-27,80.96000000000001
2011-08-28,87.4
2011-08-29,92.0
2011-08-30,84.64
2011-08-31,82.8
2011-09-01,78.3
2011-09-02,81.0
2011-09-03,90.0
2011-09-04,74.7
2011-09-05,68.4
2011-09-06,79.2
2011-09-07,81.0
2011-09-08,74.7
2011-09-09,76.5
2011-09-10,86.4
2011-09-11,77.4
2011-09-12,80.10000000000001
2011-09-13,77.4
2011-09-14,74.7
2011-09-15,73.8
2011-09-16,77.4
2011-09-17,83.7
2011-09-18,82.8
2011-09-19,74.7
2011-09-20,78.3
2011-09-21,74.7
2011-09-22,72.9
2011-09-23,71.10000000000001
2011-09-24,85.5
2011-09-25,71.10000000000001
2011-09-26,72.9
2011-09-27,68.4
2011-09-28,71.10000000000001
2011-09-29,71.10000000000001
2011-09-30,72.9
2011-10-01,73.47
2011-10-02,65.57000000000001
2011-10-03,67.15
2011-10-04,63.99
2011-10-05,61.620000000000005
2011-10-06,63.2
2011-10-07,60.040000000000006
2011-10-08,67.94
2011-10-09,61.620000000000005
2011-10-10,69.52000000000001
2011-10-11,65.57000000000001
2011-10-12,68.73
2011-10-13,66.36
2011-10-14,67.15
2011-10-15,79.0
2011-10-16,63.99
2011-10-17,62.410000000000004
2011-10-18,57.67
2011-10-19,56.88
2011-10-20,54.510000000000005
2011-10-21,60.830000000000005
2011-10-22,63.2
2011-10-23,54.510000000000005
2011-10-24,57.67
2011-10-25,53.72
2011-10-26,56.09
2011-10-27,57.67
2011-10-28,56.88
2011-10-29,66.36
2011-10-30,65.57000000000001
2011-10-31,65.57000000000001
2011-11-01,66.75
2011-11-02,66.75
2011-11-03,63.0
2011-11-04,69.75
2011-11-05,66.0
2011-11-06,63.75
2011-11-07,60.75
2011-11-08,64.5
2011-11-09,59.25
2011-11-10,69.75
2011-11-11,64.5
2011-11-12,64.5
2011-11-13,66.0
2011-11-14,64.5
2011-11-15,60.75
2011-11-16,57.0
2011-11-17,57.75
2011-11-18,61.5
2011-11-19,66.75
2011-11-20,61.5
2011-11-21,62.25
2011-11-22,60.75
2011-11-23,63.0
2011-11-24,54.75
2011-11-25,75.0
2011-11-26,72.75
2011-11-27,69.75
2011-11-28,66.75
2011-11-29,62.25
2011-11-30,69.0
2011-12-01,60.06
2011-12-02,66.3
2011-12-03,71.76
2011-12-04,61.620000000000005
2011-12-05,60.06
2011-12-06,63.18
2011-12-07,58.5
2011-12-08,59.28
2011-12-09,59.28
2011-12-10,63.18
2011-12-11,56.940000000000005
2011-12-12,60.84
2011-12-13,56.940000000000005
2011-12-14,58.5
2011-12-15,58.5
2011-12-16,60.06
2011-12-17,69.42
2011-12-18,64.74000000000001
2011-12-19,60.84
2011-12-20,62.400000000000006
2011-12-21,62.400000000000006
2011-12-22,60.06
2011-12-23,60.84
2011-12-24,59.28
2011-12-25,63.18
2011-12-26,75.66
2011-12-27,78.0
2011-12-28,70.2
2011-12-29,77.22
2011-12-30,78.0
2011-12-31,68.64
2012-01-01,65.60000000000001
2012-01-02,80.0
2012-01-03,77.60000000000001
2012-01-04,72.8
2012-01-05,72.8
2012-01-06,70.4
2012-01-07,74.4
2012-01-08,67.2
2012-01-09,70.4
2012-01-10,72.0
2012-01-11,66.4
2012-01-12,67.2
2012-01-13,80.0
2012-01-14,71.2
2012-01-15,63.2
2012-01-16,66.4
2012-01-17,68.0
2012-01-18,66.4
2012-01-19,62.400000000000006
2012-01-20,69.60000000000001
2012-01-21,69.60000000000001
2012-01-22,60.800000000000004
2012-01-23,63.2
2012-01-24,65.60000000000001
2012-01-25,60.800000000000004
2012-01-26,61.6
2012-01-27,67.2
2012-01-28,69.60000000000001
2012-01-29,65.60000000000001
2012-01-30,60.800000000000004
2012-01-31,65.60000000000001
2012-02-01,70.28999999999999
2012-02-02,68.16
2012-02-03,65.32
2012-02-04,70.28999999999999
2012-02-05,68.16
2012-02-06,66.74
2012-02-07,66.03
2012-02-08,68.86999999999999
2012-02-09,63.19
2012-02-10,65.32
2012-02-11,70.28999999999999
2012-02-12,59.64
2012-02-13,66.03
2012-02-14,58.93
2012-02-15,71.0
2012-02-16,66.03
2012-02-17,66.03
2012-02-18,71.0
2012-02-19,59.64
2012-02-20,68.86999999999999
2012-02-21,66.74
2012-02-22,69.58
2012-02-23,65.32
2012-02-24,62.48
2012-02-25,66.03
2012-02-26,61.059999999999995
2012-02-27,66.74
2012-02-28,64.61
2012-02-29,65.32
2012-03-01,62.48
2012-03-02,66.03
2012-03-03,66.74
2012-03-04,57.51
2012-03-05,68.16
2012-03-06,64.61
2012-03-07,62.48
2012-03-08,63.19
2012-03-09,71.0
2012-03-10,68.86999999999999
2012-03-11,55.379999999999995
2012-03-12,66.74
2012-03-13,64.61
2012-03-14,66.03
2012-03-15,66.03
2012-03-16,68.86999999999999
2012-03-17,66.74
2012-03-18,56.8
2012-03-19,64.61
2012-03-20,61.059999999999995
2012-03-21,58.22
2012-03-22,63.19
2012-03-23,63.19
2012-03-24,66.74
2012-03-25,60.349999999999994
2012-03-26,65.32
2012-03-27,64.61
2012-03-28,63.19
2012-03-29,66.03
2012-03-30,67.45
2012-03-31,67.45
2012-04-01,65.52
2012-04-02,66.96
2012-04-03,66.96
2012-04-04,61.199999999999996
2012-04-05,63.36
2012-04-06,64.08
2012-04-07,69.12
2012-04-08,59.04
2012-04-09,66.24
2012-04-10,63.36
2012-04-11,64.08
2012-04-12,60.48
2012-04-13,64.08
2012-04-14,65.52
2012-04-15,60.48
2012-04-16,69.12
2012-04-17,66.24
2012-04-18,61.919999999999995
2012-04-19,59.04
2012-04-20,64.08
2012-04-21,72.0
2012-04-22,60.48
2012-04-23,66.24
2012-04-24,64.8
2012-04-25,64.08
2012-04-26,64.8
2012-04-27,63.36
2012-04-28,67.67999999999999
2012-04-29,56.16
2012-04-30,69.84
2012-05-01,65.52
2012-05-02,61.919999999999995
2012-05-03,60.48
2012-05-04,61.919999999999995
2012-05-05,65.52
2012-05-06,54.72
2012-05-07,61.199999999999996
2012-05-08,61.199999999999996
2012-05-09,62.64
2012-05-10,56.879999999999995
2012-05-11,58.32
2012-05-12,57.599999999999994
2012-05-13,53.28
2012-05-14,63.36
2012-05-15,63.36
2012-05-16,61.919999999999995
2012-05-17,57.599999999999994
2012-05-18,65.52
2012-05-19,67.67999999999999
2012-05-20,54.72
2012-05-21,65.52
2012-05-22,62.64
2012-05-23,63.36
2012-05-24,62.64
2012-05-25,66.24
2012-05-26,65.52
2012-05-27,57.599999999999994
2012-05-28,58.32
2012-05-29,69.12
2012-05-30,69.12
2012-05-31,72.0
2012-06-01,72.0
2012-06-02,74.4
2012-06-03,57.6
2012-06-04,70.4
2012-06-05,66.4
2012-06-06,64.8
2012-06-07,64.0
2012-06-08,65.60000000000001
2012-06-09,69.60000000000001
2012-06-10,64.8
2012-06-11,68.0
2012-06-12,61.6
2012-06-13,64.0
