date,Intel
2011-08-24,71.38
2011-08-25,78.85
2011-08-26,73.03999999999999
2011-08-27,63.91
2011-08-28,59.76
2011-08-29,68.06
2011-08-30,73.86999999999999
2011-08-31,73.03999999999999
2011-09-01,79.2
2011-09-02,69.60000000000001
2011-09-03,68.0
2011-09-04,64.0
2011-09-05,62.400000000000006
2011-09-06,67.2
2011-09-07,69.60000000000001
2011-09-08,69.60000000000001
2011-09-09,75.2
2011-09-10,64.8
2011-09-11,61.6
2011-09-12,70.4
2011-09-13,72.8
2011-09-14,80.0
2011-09-15,72.8
2011-09-16,76.80000000000001
2011-09-17,64.8
2011-09-18,61.6
2011-09-19,78.4
2011-09-20,74.4
2011-09-21,71.2
2011-09-22,74.4
2011-09-23,72.8
2011-09-24,64.8
2011-09-25,60.0
2011-09-26,68.0
2011-09-27,65.60000000000001
2011-09-28,67.2
2011-09-29,76.0
2011-09-30,72.0
2011-10-01,56.940000000000005
2011-10-02,60.84
2011-10-03,69.42
2011-10-04,63.96
2011-10-05,68.64
2011-10-06,66.3
2011-10-07,63.18
2011-10-08,63.96
2011-10-09,61.620000000000005
2011-10-10,67.86
2011-10-11,67.86
2011-10-12,78.0
2011-10-13,76.44
2011-10-14,74.10000000000001
2011-10-15,73.32000000000001
2011-10-16,70.98
2011-10-17,67.86
2011-10-18,75.66
2011-10-19,73.32000000000001
2011-10-20,74.88
2011-10-21,65.52
2011-10-22,63.18
2011-10-23,62.400000000000006
2011-10-24,63.96
2011-10-25,67.86
2011-10-26,68.64
2011-10-27,71.76
2011-10-28,67.86
2011-10-29,66.3
2011-10-30,56.160000000000004
2011-10-31,65.52
2011-11-01,52.2
2011-11-02,50.4
2011-11-03,51.300000000000004
2011-11-04,53.1
2011-11-05,47.7
2011-11-06,41.4
2011-11-07,47.7
2011-11-08,45.9
2011-11-09,52.2
2011-11-10,54.9
2011-11-11,57.6
2011-11-12,53.1
2011-11-13,56.7
2011-11-14,62.1
2011-11-15,63.9
2011-11-16,61.2
2011-11-17,59.4
2011-11-18,56.7
2011-11-19,51.300000000000004
2011-11-20,55.800000000000004
2011-11-21,58.5
2011-11-22,65.7
2011-11-23,67.5
2011-11-24,83.7
2011-11-25,90.0
2011-11-26,69.3
2011-11-27,68.4
2011-11-28,68.4
2011-11-29,60.300000000000004
2011-11-30,58.5
2011-12-01,75.44
2011-12-02,74.61999999999999
2011-12-03,67.24
