date,UnitedHealth Group
2011-08-17,21.0
2011-08-18,24.5
2011-08-19,50.0
2011-08-20,8.5
2011-08-21,0.0
2011-08-22,13.5
2011-08-23,13.0
2011-08-24,20.5
2011-08-25,7.0
2011-08-26,7.0
2011-08-27,17.0
2011-08-28,8.5
2011-08-29,13.5
2011-08-30,23.5
2011-08-31,16.5
2011-09-01,12.100000000000001
2011-09-02,18.700000000000003
2011-09-03,0.0
2011-09-04,15.400000000000002
2011-09-05,13.750000000000002
2011-09-06,23.650000000000002
2011-09-07,23.1
2011-09-08,23.650000000000002
2011-09-09,24.200000000000003
2011-09-10,14.850000000000001
2011-09-11,29.150000000000002
2011-09-12,23.650000000000002
2011-09-13,22.55
2011-09-14,17.05
2011-09-15,23.1
2011-09-16,55.00000000000001
2011-09-17,0.0
2011-09-18,14.3
2011-09-19,34.650000000000006
2011-09-20,39.6
2011-09-21,23.1
2011-09-22,34.650000000000006
2011-09-23,12.100000000000001
2011-09-24,22.0
2011-09-25,14.3
2011-09-26,22.55
2011-09-27,33.550000000000004
2011-09-28,28.6
2011-09-29,23.1
2011-09-30,36.300000000000004
2011-10-01,13.5
2011-10-02,13.05
2011-10-03,36.0
2011-10-04,20.25
2011-10-05,9.9
2011-10-06,10.35
2011-10-07,10.8
2011-10-08,19.8
2011-10-09,0.0
2011-10-10,20.25
2011-10-11,9.450000000000001
2011-10-12,23.85
2011-10-13,14.85
2011-10-14,21.150000000000002
2011-10-15,13.05
2011-10-16,38.7
2011-10-17,20.25
2011-10-18,19.8
2011-10-19,9.9
2011-10-20,20.25
2011-10-21,32.4
2011-10-22,0.0
2011-10-23,25.2
2011-10-24,45.0
2011-10-25,9.9
2011-10-26,19.8
2011-10-27,24.75
2011-10-28,31.5
2011-10-29,25.650000000000002
2011-10-30,0.0
2011-10-31,20.7
2011-11-01,15.049999999999999
2011-11-02,14.19
2011-11-03,21.5
2011-11-04,15.049999999999999
2011-11-05,9.03
2011-11-06,9.03
2011-11-07,14.19
2011-11-08,6.88
2011-11-09,10.32
2011-11-10,14.19
2011-11-11,18.919999999999998
2011-11-12,0.0
2011-11-13,9.03
2011-11-14,17.63
2011-11-15,14.19
2011-11-16,6.88
2011-11-17,43.0
2011-11-18,22.36
2011-11-19,0.0
2011-11-20,8.6
2011-11-21,14.19
2011-11-22,10.75
2011-11-23,7.31
2011-11-24,0.0
2011-11-25,8.6
2011-11-26,9.03
2011-11-27,8.6
2011-11-28,6.88
2011-11-29,16.77
2011-11-30,13.76
2011-12-01,12.540000000000001
2011-12-02,13.200000000000001
2011-12-03,23.43
2011-12-04,7.92
2011-12-05,6.2700000000000005
2011-12-06,12.21
2011-12-07,6.2700000000000005
2011-12-08,6.2700000000000005
2011-12-09,16.5
2011-12-10,0.0
2011-12-11,7.92
2011-12-12,21.78
2011-12-13,12.540000000000001
2011-12-14,12.540000000000001
2011-12-15,6.2700000000000005
2011-12-16,16.5
2011-12-17,7.92
2011-12-18,8.25
2011-12-19,12.870000000000001
2011-12-20,6.6000000000000005
2011-12-21,33.0
2011-12-22,6.930000000000001
2011-12-23,11.22
2011-12-24,0.0
2011-12-25,0.0
2011-12-26,16.17
2011-12-27,17.16
2011-12-28,10.23
2011-12-29,6.930000000000001
2011-12-30,6.930000000000001
2011-12-31,11.88
2012-01-01,9.75
2012-01-02,7.800000000000001
2012-01-03,6.5
2012-01-04,0.0
2012-01-05,20.150000000000002
2012-01-06,13.65
2012-01-07,8.450000000000001
2012-01-08,7.800000000000001
2012-01-09,20.150000000000002
2012-01-10,20.150000000000002
2012-01-11,20.150000000000002
2012-01-12,6.5
2012-01-13,6.5
2012-01-14,0.0
2012-01-15,7.800000000000001
2012-01-16,27.3
