date,Microsoft
2011-08-26,70.55
2011-08-27,58.93
2011-08-28,60.589999999999996
2011-08-29,77.19
2011-08-30,83.0
2011-08-31,83.0
2011-09-01,77.4
2011-09-02,73.1
2011-09-03,54.18
2011-09-04,57.62
2011-09-05,65.36
2011-09-06,78.26
2011-09-07,80.84
2011-09-08,83.42
2011-09-09,74.82
2011-09-10,60.199999999999996
2011-09-11,58.48
2011-09-12,77.4
2011-09-13,83.42
2011-09-14,86.0
2011-09-15,83.42
2011-09-16,79.12
2011-09-17,57.62
2011-09-18,60.199999999999996
2011-09-19,79.12
2011-09-20,82.56
2011-09-21,83.42
2011-09-22,78.26
2011-09-23,70.52
2011-09-24,55.04
2011-09-25,61.06
2011-09-26,74.82
2011-09-27,75.67999999999999
2011-09-28,79.98
2011-09-29,76.53999999999999
2011-09-30,69.66
2011-10-01,53.46
2011-10-02,53.46
2011-10-03,71.28
2011-10-04,70.47
2011-10-05,71.28
2011-10-06,81.0
2011-10-07,68.85000000000001
2011-10-08,49.410000000000004
2011-10-09,52.650000000000006
2011-10-10,68.04
2011-10-11,70.47
2011-10-12,70.47
2011-10-13,71.28
2011-10-14,65.61
2011-10-15,50.220000000000006
2011-10-16,50.220000000000006
2011-10-17,68.04
2011-10-18,71.28
2011-10-19,70.47
2011-10-20,69.66000000000001
2011-10-21,63.99
2011-10-22,49.410000000000004
2011-10-23,51.84
2011-10-24,66.42
2011-10-25,69.66000000000001
2011-10-26,71.28
2011-10-27,68.04
2011-10-28,60.75000000000001
2011-10-29,48.6
2011-10-30,50.220000000000006
2011-10-31,60.75000000000001
2011-11-01,70.98
2011-11-02,71.76
2011-11-03,69.42
2011-11-04,67.08
2011-11-05,51.480000000000004
2011-11-06,53.04
2011-11-07,68.64
2011-11-08,70.2
2011-11-09,71.76
2011-11-10,69.42
2011-11-11,63.18
2011-11-12,50.7
2011-11-13,53.82
2011-11-14,67.86
2011-11-15,70.98
2011-11-16,70.2
2011-11-17,70.98
2011-11-18,62.400000000000006
2011-11-19,50.7
2011-11-20,53.04
2011-11-21,66.3
2011-11-22,67.08
2011-11-23,60.84
2011-11-24,46.02
2011-11-25,60.84
2011-11-26,55.38
2011-11-27,59.28
2011-11-28,78.0
2011-11-29,76.44
2011-11-30,72.54
2011-12-01,76.0
2011-12-02,71.44
2011-12-03,56.24
2011-12-04,55.480000000000004
2011-12-05,72.2
2011-12-06,75.24
2011-12-07,74.48
2011-12-08,74.48
2011-12-09,67.64
2011-12-10,55.480000000000004
2011-12-11,57.0
2011-12-12,72.2
2011-12-13,73.72
2011-12-14,71.44
2011-12-15,72.2
2011-12-16,66.12
2011-12-17,50.160000000000004
2011-12-18,53.2
2011-12-19,66.12
2011-12-20,65.36
2011-12-21,65.36
2011-12-22,62.32
2011-12-23,53.96
2011-12-24,47.12
2011-12-25,59.28
2011-12-26,59.28
2011-12-27,63.84
2011-12-28,64.6
2011-12-29,63.84
2011-12-30,59.28
2011-12-31,49.4
2012-01-01,45.03
2012-01-02,59.25
2012-01-03,71.10000000000001
2012-01-04,72.68
2012-01-05,73.47
2012-01-06,70.31
2012-01-07,55.300000000000004
2012-01-08,56.88
2012-01-09,74.26
2012-01-10,79.0
2012-01-11,78.21000000000001
2012-01-12,76.63000000000001
2012-01-13,72.68
2012-01-14,55.300000000000004
2012-01-15,54.510000000000005
2012-01-16,67.15
2012-01-17,75.84
2012-01-18,76.63000000000001
2012-01-19,73.47
2012-01-20,69.52000000000001
2012-01-21,55.300000000000004
2012-01-22,55.300000000000004
2012-01-23,70.31
2012-01-24,74.26
2012-01-25,75.05
2012-01-26,76.63000000000001
2012-01-27,69.52000000000001
2012-01-28,54.510000000000005
2012-01-29,58.46
2012-01-30,70.31
2012-01-31,72.68
2012-02-01,74.25
2012-02-02,70.5
2012-02-03,66.0
2012-02-04,53.25
2012-02-05,52.5
2012-02-06,63.75
2012-02-07,71.25
2012-02-08,72.0
2012-02-09,69.75
2012-02-10,66.75
2012-02-11,51.75
2012-02-12,50.25
2012-02-13,66.75
2012-02-14,68.25
2012-02-15,70.5
2012-02-16,72.75
2012-02-17,66.75
2012-02-18,52.5
2012-02-19,53.25
2012-02-20,64.5
2012-02-21,72.0
2012-02-22,69.0
2012-02-23,66.75
2012-02-24,63.0
2012-02-25,52.5
2012-02-26,51.0
2012-02-27,64.5
2012-02-28,72.0
2012-02-29,75.0
2012-03-01,73.0
2012-03-02,65.7
2012-03-03,53.29
2012-03-04,55.48
2012-03-05,65.7
2012-03-06,64.97
2012-03-07,63.51
2012-03-08,62.05
2012-03-09,58.4
2012-03-10,49.64
2012-03-11,47.449999999999996
2012-03-12,60.589999999999996
2012-03-13,63.51
2012-03-14,62.05
2012-03-15,61.32
2012-03-16,59.86
2012-03-17,43.8
2012-03-18,46.72
2012-03-19,60.589999999999996
2012-03-20,66.42999999999999
2012-03-21,63.51
2012-03-22,61.32
2012-03-23,56.94
2012-03-24,44.53
2012-03-25,46.72
2012-03-26,62.78
2012-03-27,65.7
2012-03-28,64.24
2012-03-29,64.97
2012-03-30,56.94
2012-03-31,40.15
2012-04-01,48.96
2012-04-02,64.8
2012-04-03,68.39999999999999
2012-04-04,66.24
2012-04-05,65.52
2012-04-06,59.76
2012-04-07,47.519999999999996
2012-04-08,56.879999999999995
2012-04-09,65.52
2012-04-10,69.12
2012-04-11,72.0
2012-04-12,72.0
2012-04-13,63.36
2012-04-14,49.68
2012-04-15,51.12
2012-04-16,66.96
2012-04-17,67.67999999999999
2012-04-18,67.67999999999999
2012-04-19,68.39999999999999
2012-04-20,64.08
2012-04-21,47.519999999999996
2012-04-22,56.16
2012-04-23,69.12
2012-04-24,69.84
2012-04-25,71.28
2012-04-26,71.28
2012-04-27,61.919999999999995
2012-04-28,51.839999999999996
2012-04-29,51.839999999999996
2012-04-30,69.12
2012-05-01,67.89999999999999
2012-05-02,67.89999999999999
2012-05-03,66.5
2012-05-04,59.49999999999999
2012-05-05,46.9
2012-05-06,46.9
2012-05-07,63.699999999999996
2012-05-08,62.99999999999999
2012-05-09,68.6
2012-05-10,70.0
2012-05-11,64.39999999999999
2012-05-12,46.9
2012-05-13,51.099999999999994
2012-05-14,62.3
2012-05-15,65.8
2012-05-16,67.89999999999999
2012-05-17,64.39999999999999
2012-05-18,60.199999999999996
2012-05-19,46.199999999999996
2012-05-20,47.599999999999994
