date,Verizon
2011-10-04,75.2
2011-10-05,80.0
2011-10-06,67.2
2011-10-07,79.2
2011-10-08,65.60000000000001
2011-10-09,60.0
2011-10-10,61.6
2011-10-11,63.2
2011-10-12,64.8
2011-10-13,66.4
2011-10-14,79.2
2011-10-15,75.2
2011-10-16,64.0
2011-10-17,66.4
2011-10-18,61.6
2011-10-19,64.8
2011-10-20,66.4
2011-10-21,64.8
2011-10-22,64.0
2011-10-23,55.2
2011-10-24,59.2
2011-10-25,60.0
2011-10-26,54.400000000000006
2011-10-27,59.2
2011-10-28,60.0
2011-10-29,62.400000000000006
2011-10-30,57.6
2011-10-31,60.800000000000004
2011-11-01,61.42
2011-11-02,59.2
2011-11-03,57.72
2011-11-04,60.68
2011-11-05,57.72
2011-11-06,54.019999999999996
2011-11-07,56.98
2011-11-08,56.98
2011-11-09,56.98
2011-11-10,56.98
2011-11-11,61.42
2011-11-12,57.72
2011-11-13,54.019999999999996
2011-11-14,56.98
2011-11-15,61.42
2011-11-16,58.46
2011-11-17,59.2
2011-11-18,59.94
2011-11-19,56.98
2011-11-20,56.24
2011-11-21,59.2
2011-11-22,57.72
2011-11-23,58.46
2011-11-24,59.2
2011-11-25,74.0
2011-11-26,63.64
2011-11-27,59.2
2011-11-28,64.38
2011-11-29,62.16
2011-11-30,58.46
2011-12-01,58.5
2011-12-02,63.0
2011-12-03,60.75
2011-12-04,58.5
2011-12-05,58.5
2011-12-06,59.25
2011-12-07,59.25
2011-12-08,58.5
2011-12-09,63.75
2011-12-10,58.5
2011-12-11,50.25
2011-12-12,57.75
2011-12-13,60.75
2011-12-14,62.25
2011-12-15,67.5
2011-12-16,63.75
2011-12-17,65.25
2011-12-18,58.5
2011-12-19,58.5
2011-12-20,62.25
2011-12-21,65.25
2011-12-22,63.75
2011-12-23,62.25
2011-12-24,57.0
2011-12-25,60.75
2011-12-26,72.0
2011-12-27,68.25
2011-12-28,69.75
2011-12-29,73.5
2011-12-30,75.0
2011-12-31,60.0
2012-01-01,59.400000000000006
2012-01-02,64.02
2012-01-03,66.0
2012-01-04,64.68
2012-01-05,62.7
2012-01-06,64.02
2012-01-07,60.06
2012-01-08,58.080000000000005
2012-01-09,60.06
2012-01-10,61.38
2012-01-11,58.74
2012-01-12,57.42
2012-01-13,61.38
2012-01-14,61.38
2012-01-15,60.06
2012-01-16,58.080000000000005
2012-01-17,58.080000000000005
2012-01-18,56.760000000000005
2012-01-19,56.760000000000005
2012-01-20,57.42
2012-01-21,56.760000000000005
2012-01-22,54.120000000000005
2012-01-23,54.78
2012-01-24,55.440000000000005
2012-01-25,56.760000000000005
2012-01-26,56.760000000000005
2012-01-27,58.74
2012-01-28,60.06
2012-01-29,52.14
2012-01-30,54.78
2012-01-31,56.1
2012-02-01,58.28
2012-02-02,57.04
2012-02-03,57.04
2012-02-04,58.28
2012-02-05,52.08
2012-02-06,55.18
2012-02-07,58.28
2012-02-08,56.42
2012-02-09,56.42
2012-02-10,57.04
2012-02-11,58.9
2012-02-12,52.7
2012-02-13,55.8
2012-02-14,55.18
2012-02-15,57.66
