date,NVIDIA
2011-08-26,60.830000000000005
2011-08-27,67.94
2011-08-28,64.78
2011-08-29,60.830000000000005
2011-08-30,56.88
2011-08-31,55.300000000000004
2011-09-01,48.36
2011-09-02,46.02
2011-09-03,53.82
2011-09-04,56.940000000000005
2011-09-05,54.6
2011-09-06,45.24
2011-09-07,46.800000000000004
2011-09-08,49.14
2011-09-09,56.160000000000004
2011-09-10,63.18
2011-09-11,55.38
2011-09-12,43.68
2011-09-13,47.58
2011-09-14,50.7
2011-09-15,47.58
2011-09-16,47.58
2011-09-17,43.68
2011-09-18,47.58
2011-09-19,44.46
2011-09-20,46.02
2011-09-21,45.24
2011-09-22,49.14
2011-09-23,52.260000000000005
2011-09-24,51.480000000000004
2011-09-25,48.36
2011-09-26,48.36
2011-09-27,58.5
2011-09-28,56.940000000000005
2011-09-29,70.2
2011-09-30,78.0
2011-10-01,85.0
2011-10-02,69.7
2011-10-03,50.15
2011-10-04,55.25
2011-10-05,51.85
2011-10-06,56.1
2011-10-07,61.199999999999996
2011-10-08,59.5
2011-10-09,58.65
2011-10-10,41.65
2011-10-11,49.3
2011-10-12,50.15
2011-10-13,47.6
2011-10-14,43.35
2011-10-15,56.949999999999996
2011-10-16,57.8
2011-10-17,46.75
2011-10-18,47.6
2011-10-19,45.05
2011-10-20,47.6
2011-10-21,46.75
2011-10-22,58.65
2011-10-23,56.1
2011-10-24,55.25
2011-10-25,78.2
2011-10-26,72.25
2011-10-27,62.9
2011-10-28,52.699999999999996
2011-10-29,68.85
2011-10-30,56.949999999999996
2011-10-31,51.0
2011-11-01,60.9
2011-11-02,54.81
2011-11-03,62.64
2011-11-04,62.64
2011-11-05,73.95
2011-11-06,62.64
2011-11-07,49.589999999999996
2011-11-08,52.2
2011-11-09,66.99
2011-11-10,60.9
2011-11-11,80.04
2011-11-12,87.0
2011-11-13,73.08
2011-11-14,57.42
2011-11-15,64.38
2011-11-16,66.12
2011-11-17,60.03
2011-11-18,63.51
2011-11-19,76.56
2011-11-20,63.51
2011-11-21,53.94
2011-11-22,67.86
