date,sba loans
2011-08-19,0.0
2011-08-20,1.04
2011-08-21,2.04
2011-08-22,0.8
2011-08-23,3.08
2011-08-24,3.56
2011-08-25,1.56
2011-08-26,1.6400000000000001
2011-08-27,2.44
2011-08-28,1.96
2011-08-29,1.96
2011-08-30,2.32
2011-08-31,1.56
2011-09-01,1.05
2011-09-02,1.8
2011-09-03,2.6
2011-09-04,2.0500000000000003
2011-09-05,1.2000000000000002
2011-09-06,2.7
2011-09-07,5.0
2011-09-08,2.7
2011-09-09,2.45
2011-09-10,3.85
2011-09-11,1.25
2011-09-12,2.0
2011-09-13,3.6
2011-09-14,2.95
2011-09-15,3.7
2011-09-16,3.2
2011-09-17,3.9000000000000004
2011-09-18,1.85
2011-09-19,3.3000000000000003
2011-09-20,4.3
2011-09-21,1.0
2011-09-22,3.35
2011-09-23,2.75
2011-09-24,3.8000000000000003
2011-09-25,2.9000000000000004
2011-09-26,3.6
2011-09-27,3.25
2011-09-28,3.45
2011-09-29,4.3500000000000005
2011-09-30,3.7
2011-10-01,1.6400000000000001
2011-10-02,0.0
2011-10-03,2.52
2011-10-04,1.8800000000000001
2011-10-05,2.48
2011-10-06,1.92
2011-10-07,2.2
2011-10-08,1.08
2011-10-09,1.08
2011-10-10,2.24
2011-10-11,1.16
2011-10-12,2.6
2011-10-13,1.6400000000000001
2011-10-14,0.88
2011-10-15,1.08
2011-10-16,1.56
2011-10-17,1.8800000000000001
2011-10-18,1.36
2011-10-19,1.08
2011-10-20,3.84
2011-10-21,1.76
2011-10-22,0.0
2011-10-23,1.04
2011-10-24,3.8000000000000003
2011-10-25,4.0
2011-10-26,2.68
2011-10-27,3.68
2011-10-28,2.2800000000000002
2011-10-29,2.08
2011-10-30,2.12
2011-10-31,3.12
2011-11-01,2.12
2011-11-02,1.72
2011-11-03,2.32
2011-11-04,3.0
2011-11-05,1.12
2011-11-06,1.8
2011-11-07,4.0
2011-11-08,2.56
2011-11-09,3.68
2011-11-10,2.04
2011-11-11,2.12
2011-11-12,1.6400000000000001
2011-11-13,2.68
2011-11-14,2.56
2011-11-15,1.68
2011-11-16,1.96
2011-11-17,3.0
2011-11-18,1.8
2011-11-19,1.6400000000000001
2011-11-20,1.8
2011-11-21,3.0
2011-11-22,1.72
2011-11-23,0.92
2011-11-24,1.12
2011-11-25,1.04
2011-11-26,1.08
2011-11-27,1.4000000000000001
2011-11-28,2.04
2011-11-29,3.2
2011-11-30,3.84
2011-12-01,1.08
2011-12-02,0.9299999999999999
2011-12-03,1.3499999999999999
2011-12-04,1.14
2011-12-05,1.3499999999999999
2011-12-06,2.4899999999999998
2011-12-07,1.08
2011-12-08,3.0
2011-12-09,1.1099999999999999
2011-12-10,0.69
2011-12-11,1.02
2011-12-12,1.26
2011-12-13,1.77
2011-12-14,1.26
2011-12-15,2.2199999999999998
2011-12-16,0.96
2011-12-17,0.69
2011-12-18,0.69
2011-12-19,1.3199999999999998
2011-12-20,0.84
2011-12-21,0.96
2011-12-22,0.99
2011-12-23,1.29
2011-12-24,0.0
2011-12-25,0.84
2011-12-26,1.38
2011-12-27,1.56
2011-12-28,1.74
2011-12-29,1.17
2011-12-30,1.41
2011-12-31,1.1099999999999999
2012-01-01,1.3199999999999998
2012-01-02,1.8599999999999999
2012-01-03,2.52
2012-01-04,1.65
2012-01-05,2.82
2012-01-06,1.89
2012-01-07,1.14
2012-01-08,1.1099999999999999
2012-01-09,2.4299999999999997
2012-01-10,1.8299999999999998
2012-01-11,1.44
2012-01-12,1.8299999999999998
2012-01-13,1.89
2012-01-14,0.0
2012-01-15,0.75
2012-01-16,0.63
2012-01-17,3.0
2012-01-18,1.5899999999999999
2012-01-19,1.41
2012-01-20,1.8599999999999999
2012-01-21,0.72
2012-01-22,0.72
2012-01-23,1.56
2012-01-24,2.37
2012-01-25,1.98
2012-01-26,1.5899999999999999
2012-01-27,1.23
2012-01-28,1.71
2012-01-29,2.19
2012-01-30,2.58
2012-01-31,2.55
2012-02-01,2.64
2012-02-02,2.2
2012-02-03,2.7600000000000002
2012-02-04,1.08
2012-02-05,2.2
2012-02-06,0.88
2012-02-07,2.2
2012-02-08,0.88
2012-02-09,3.56
2012-02-10,1.84
2012-02-11,3.24
2012-02-12,1.04
2012-02-13,3.88
2012-02-14,2.24
2012-02-15,1.8
2012-02-16,2.2
2012-02-17,0.92
2012-02-18,1.12
2012-02-19,2.2
2012-02-20,3.68
2012-02-21,2.68
2012-02-22,3.96
2012-02-23,4.0
2012-02-24,3.16
2012-02-25,2.2
2012-02-26,1.68
2012-02-27,2.64
2012-02-28,2.16
2012-02-29,2.6
2012-03-01,2.31
2012-03-02,2.2199999999999998
2012-03-03,1.3199999999999998
2012-03-04,0.6599999999999999
2012-03-05,1.5899999999999999
2012-03-06,2.46
2012-03-07,1.47
2012-03-08,1.71
2012-03-09,0.51
2012-03-10,0.6
2012-03-11,2.46
2012-03-12,1.74
2012-03-13,1.74
2012-03-14,0.99
2012-03-15,0.51
2012-03-16,0.51
2012-03-17,1.23
2012-03-18,0.63
2012-03-19,1.98
2012-03-20,1.71
2012-03-21,1.71
2012-03-22,3.0
2012-03-23,1.29
2012-03-24,1.53
2012-03-25,0.6
2012-03-26,1.95
2012-03-27,1.23
2012-03-28,2.19
2012-03-29,1.23
2012-03-30,0.78
2012-03-31,1.77
2012-04-01,0.51
2012-04-02,1.02
2012-04-03,1.17
2012-04-04,2.01
2012-04-05,0.8099999999999999
2012-04-06,0.8999999999999999
2012-04-07,0.78
2012-04-08,0.54
2012-04-09,1.44
2012-04-10,3.0
2012-04-11,2.16
2012-04-12,1.2
2012-04-13,0.42
2012-04-14,0.0
2012-04-15,0.51
2012-04-16,1.5899999999999999
2012-04-17,1.17
2012-04-18,0.6
2012-04-19,2.01
2012-04-20,0.84
2012-04-21,0.0
2012-04-22,0.99
2012-04-23,0.39
2012-04-24,1.2
2012-04-25,1.95
2012-04-26,1.77
2012-04-27,0.63
2012-04-28,0.48
2012-04-29,0.51
2012-04-30,0.6
2012-05-01,0.8999999999999999
2012-05-02,2.1
2012-05-03,1.8299999999999998
2012-05-04,0.96
2012-05-05,0.78
2012-05-06,0.78
2012-05-07,1.23
2012-05-08,1.5899999999999999
2012-05-09,1.41
2012-05-10,2.4899999999999998
2012-05-11,0.99
2012-05-12,1.2
2012-05-13,1.08
2012-05-14,2.07
2012-05-15,3.0
2012-05-16,1.8599999999999999
2012-05-17,1.47
2012-05-18,1.98
2012-05-19,1.65
2012-05-20,0.8099999999999999
2012-05-21,0.6
2012-05-22,1.02
2012-05-23,0.84
2012-05-24,1.89
2012-05-25,1.65
2012-05-26,1.68
2012-05-27,0.87
2012-05-28,0.78
2012-05-29,2.04
2012-05-30,2.46
2012-05-31,1.56
2012-06-01,1.02
2012-06-02,1.53
2012-06-03,0.75
2012-06-04,1.3499999999999999
2012-06-05,1.74
2012-06-06,1.2
2012-06-07,2.01
2012-06-08,1.26
2012-06-09,1.56
2012-06-10,0.78
2012-06-11,1.5899999999999999
2012-06-12,1.38
2012-06-13,3.0
2012-06-14,1.02
2012-06-15,1.47
2012-06-16,0.0
2012-06-17,1.5899999999999999
2012-06-18,2.01
2012-06-19,1.2
2012-06-20,0.8999999999999999
2012-06-21,1.65
2012-06-22,1.47
2012-06-23,0.75
