date,Walmart
2011-08-28,38.7
2011-08-29,31.82
2011-08-30,31.39
2011-08-31,32.25
2011-09-01,31.979999999999997
2011-09-02,31.979999999999997
2011-09-03,38.949999999999996
2011-09-04,41.0
2011-09-05,39.36
2011-09-06,31.159999999999997
2011-09-07,29.11
2011-09-08,30.749999999999996
2011-09-09,32.8
2011-09-10,36.9
2011-09-11,36.9
2011-09-12,32.39
2011-09-13,30.749999999999996
2011-09-14,29.52
2011-09-15,30.34
2011-09-16,32.39
2011-09-17,36.489999999999995
2011-09-18,36.9
2011-09-19,30.749999999999996
2011-09-20,29.52
2011-09-21,30.34
2011-09-22,29.11
2011-09-23,30.749999999999996
2011-09-24,36.08
2011-09-25,35.26
2011-09-26,29.93
2011-09-27,29.52
2011-09-28,29.93
2011-09-29,30.749999999999996
2011-09-30,31.979999999999997
2011-10-01,40.48
2011-10-02,40.04
2011-10-03,34.32
2011-10-04,32.56
2011-10-05,33.0
2011-10-06,32.12
2011-10-07,33.88
2011-10-08,38.28
2011-10-09,39.160000000000004
2011-10-10,34.76
2011-10-11,33.0
2011-10-12,32.56
2011-10-13,33.88
2011-10-14,34.76
2011-10-15,38.28
2011-10-16,39.6
2011-10-17,34.76
2011-10-18,35.2
2011-10-19,33.88
2011-10-20,35.2
2011-10-21,36.08
2011-10-22,40.48
2011-10-23,41.36
2011-10-24,36.08
2011-10-25,36.96
2011-10-26,36.08
2011-10-27,36.96
2011-10-28,38.28
2011-10-29,44.0
2011-10-30,42.24
2011-10-31,34.76
2011-11-01,13.14
2011-11-02,13.14
2011-11-03,13.87
2011-11-04,15.33
2011-11-05,18.25
2011-11-06,17.52
2011-11-07,15.33
2011-11-08,15.33
2011-11-09,14.6
2011-11-10,18.98
2011-11-11,19.71
2011-11-12,19.71
2011-11-13,19.71
2011-11-14,17.52
2011-11-15,16.79
2011-11-16,16.79
2011-11-17,18.25
2011-11-18,18.25
2011-11-19,21.9
2011-11-20,24.09
2011-11-21,24.09
2011-11-22,26.28
2011-11-23,30.66
2011-11-24,54.019999999999996
2011-11-25,73.0
2011-11-26,31.39
2011-11-27,29.2
2011-11-28,29.93
2011-11-29,21.9
2011-11-30,18.25
2011-12-01,29.11
2011-12-02,30.529999999999998
2011-12-03,35.5
2011-12-04,36.21
2011-12-05,30.529999999999998
2011-12-06,29.82
2011-12-07,29.11
2011-12-08,29.82
2011-12-09,31.24
2011-12-10,36.92
2011-12-11,37.629999999999995
2011-12-12,31.95
2011-12-13,31.24
2011-12-14,31.24
2011-12-15,31.95
2011-12-16,34.79
2011-12-17,40.47
2011-12-18,40.47
2011-12-19,36.21
2011-12-20,34.79
2011-12-21,36.21
2011-12-22,37.629999999999995
2011-12-23,41.18
2011-12-24,49.699999999999996
2011-12-25,71.0
2011-12-26,50.41
2011-12-27,32.66
2011-12-28,29.11
2011-12-29,26.979999999999997
2011-12-30,27.689999999999998
