date,Amazon
2011-08-14,35.519999999999996
2011-08-15,32.56
2011-08-16,32.19
2011-08-17,33.3
2011-08-18,31.45
2011-08-19,31.08
2011-08-20,35.89
2011-08-21,37.0
2011-08-22,34.78
2011-08-23,34.04
2011-08-24,32.93
2011-08-25,32.19
2011-08-26,30.71
2011-08-27,32.19
2011-08-28,33.67
2011-08-29,32.56
2011-08-30,34.04
2011-08-31,33.3
2011-09-01,29.23
2011-09-02,29.23
2011-09-03,29.97
2011-09-04,31.45
2011-09-05,32.56
2011-09-06,28.86
2011-09-07,28.49
2011-09-08,27.009999999999998
2011-09-09,27.009999999999998
2011-09-10,29.23
2011-09-11,29.6
2011-09-12,28.12
2011-09-13,27.009999999999998
2011-09-14,27.009999999999998
2011-09-15,26.27
2011-09-16,28.12
2011-09-17,29.97
2011-09-18,29.97
2011-09-19,27.75
2011-09-20,27.38
2011-09-21,27.009999999999998
2011-09-22,25.9
2011-09-23,25.9
2011-09-24,29.6
2011-09-25,29.6
2011-09-26,28.86
2011-09-27,28.49
2011-09-28,37.0
2011-09-29,32.93
2011-09-30,30.34
2011-10-01,36.0
2011-10-02,35.28
2011-10-03,31.68
2011-10-04,31.68
2011-10-05,30.24
2011-10-06,28.799999999999997
2011-10-07,30.24
2011-10-08,32.04
2011-10-09,33.12
2011-10-10,30.959999999999997
2011-10-11,28.439999999999998
2011-10-12,28.799999999999997
2011-10-13,29.16
2011-10-14,29.52
2011-10-15,32.4
2011-10-16,32.76
2011-10-17,30.599999999999998
2011-10-18,30.24
2011-10-19,30.959999999999997
2011-10-20,30.599999999999998
2011-10-21,29.88
2011-10-22,32.76
2011-10-23,34.199999999999996
2011-10-24,30.599999999999998
2011-10-25,31.68
2011-10-26,32.04
2011-10-27,29.52
2011-10-28,29.52
2011-10-29,32.04
2011-10-30,33.48
2011-10-31,29.16
2011-11-01,19.32
2011-11-02,20.240000000000002
2011-11-03,20.240000000000002
2011-11-04,20.240000000000002
2011-11-05,23.0
2011-11-06,23.46
2011-11-07,21.16
2011-11-08,20.7
2011-11-09,19.78
2011-11-10,21.16
2011-11-11,21.62
2011-11-12,23.92
2011-11-13,24.84
2011-11-14,23.0
2011-11-15,23.46
2011-11-16,23.46
2011-11-17,23.46
2011-11-18,23.0
2011-11-19,27.14
2011-11-20,28.98
2011-11-21,26.220000000000002
2011-11-22,26.68
2011-11-23,27.14
2011-11-24,30.82
2011-11-25,46.0
2011-11-26,37.260000000000005
2011-11-27,39.1
2011-11-28,43.24
2011-11-29,33.58
2011-11-30,28.52
2011-12-01,42.339999999999996
2011-12-02,42.919999999999995
2011-12-03,49.879999999999995
2011-12-04,49.3
2011-12-05,44.08
2011-12-06,46.4
2011-12-07,45.239999999999995
2011-12-08,44.66
2011-12-09,46.98
2011-12-10,52.779999999999994
2011-12-11,54.519999999999996
2011-12-12,50.459999999999994
2011-12-13,48.13999999999999
2011-12-14,49.3
2011-12-15,50.459999999999994
2011-12-16,48.72
2011-12-17,54.519999999999996
2011-12-18,55.67999999999999
2011-12-19,51.04
2011-12-20,48.13999999999999
2011-12-21,45.82
2011-12-22,44.66
2011-12-23,40.019999999999996
2011-12-24,42.339999999999996
2011-12-25,54.519999999999996
2011-12-26,57.99999999999999
2011-12-27,50.459999999999994
2011-12-28,46.4
2011-12-29,45.239999999999995
2011-12-30,42.919999999999995
2011-12-31,42.919999999999995
2012-01-01,42.75
2012-01-02,45.0
2012-01-03,41.4
2012-01-04,39.15
2012-01-05,39.6
2012-01-06,38.7
2012-01-07,43.2
2012-01-08,44.1
2012-01-09,39.6
2012-01-10,38.7
2012-01-11,39.15
2012-01-12,37.35
2012-01-13,37.800000000000004
2012-01-14,39.15
2012-01-15,41.85
2012-01-16,39.6
2012-01-17,37.800000000000004
2012-01-18,38.25
2012-01-19,36.9
2012-01-20,36.9
2012-01-21,40.5
2012-01-22,40.050000000000004
2012-01-23,36.9
2012-01-24,36.9
2012-01-25,36.0
2012-01-26,34.65
2012-01-27,34.2
2012-01-28,37.800000000000004
2012-01-29,40.95
2012-01-30,36.0
2012-01-31,36.0
2012-02-01,36.489999999999995
2012-02-02,35.669999999999995
2012-02-03,35.669999999999995
2012-02-04,41.0
2012-02-05,39.769999999999996
2012-02-06,35.669999999999995
2012-02-07,37.309999999999995
2012-02-08,37.309999999999995
2012-02-09,36.08
2012-02-10,35.669999999999995
2012-02-11,41.0
2012-02-12,39.36
2012-02-13,34.44
2012-02-14,33.62
2012-02-15,34.03
2012-02-16,34.85
2012-02-17,34.44
2012-02-18,39.36
2012-02-19,40.589999999999996
2012-02-20,39.36
2012-02-21,36.489999999999995
2012-02-22,36.489999999999995
2012-02-23,35.26
2012-02-24,36.08
2012-02-25,39.36
2012-02-26,41.0
2012-02-27,34.85
2012-02-28,34.85
2012-02-29,34.85
2012-03-01,34.44
2012-03-02,36.54
2012-03-03,41.16
2012-03-04,42.0
2012-03-05,36.96
2012-03-06,35.699999999999996
2012-03-07,34.44
2012-03-08,33.18
2012-03-09,33.18
2012-03-10,37.8
2012-03-11,40.74
2012-03-12,35.28
2012-03-13,34.86
2012-03-14,33.6
2012-03-15,33.6
2012-03-16,34.44
2012-03-17,38.64
2012-03-18,39.9
2012-03-19,35.699999999999996
2012-03-20,37.8
2012-03-21,35.28
2012-03-22,34.44
2012-03-23,32.76
2012-03-24,36.96
2012-03-25,39.48
2012-03-26,35.28
2012-03-27,33.6
2012-03-28,32.76
2012-03-29,31.5
2012-03-30,31.919999999999998
2012-03-31,34.019999999999996
2012-04-01,37.24
2012-04-02,31.92
2012-04-03,31.54
2012-04-04,31.16
2012-04-05,31.16
2012-04-06,31.16
2012-04-07,34.96
2012-04-08,34.58
2012-04-09,31.16
2012-04-10,30.4
