date,Adobe
2011-10-05,79.12
2011-10-06,74.82
2011-10-07,75.67999999999999
2011-10-08,66.22
2011-10-09,67.08
2011-10-10,74.82
2011-10-11,86.0
2011-10-12,84.28
2011-10-13,80.84
2011-10-14,79.12
2011-10-15,67.08
2011-10-16,66.22
2011-10-17,77.4
2011-10-18,77.4
2011-10-19,83.42
2011-10-20,78.26
2011-10-21,76.53999999999999
2011-10-22,66.22
2011-10-23,64.5
2011-10-24,73.96
2011-10-25,75.67999999999999
2011-10-26,77.4
2011-10-27,79.98
2011-10-28,75.67999999999999
2011-10-29,64.5
2011-10-30,62.78
2011-10-31,70.52
2011-11-01,68.8
2011-11-02,72.24
2011-11-03,76.53999999999999
2011-11-04,69.66
2011-11-05,61.92
2011-11-06,61.06
2011-11-07,67.94
2011-11-08,75.67999999999999
2011-11-09,85.14
2011-11-10,74.82
2011-11-11,67.08
2011-11-12,67.08
2011-11-13,62.78
2011-11-14,74.82
2011-11-15,70.52
2011-11-16,73.1
2011-11-17,76.53999999999999
2011-11-18,77.4
2011-11-19,65.36
2011-11-20,63.64
2011-11-21,67.08
2011-11-22,73.1
2011-11-23,72.24
2011-11-24,58.48
2011-11-25,60.199999999999996
2011-11-26,61.06
2011-11-27,62.78
2011-11-28,71.38
2011-11-29,86.0
2011-11-30,85.14
2011-12-01,90.0
2011-12-02,84.60000000000001
2011-12-03,75.60000000000001
2011-12-04,80.10000000000001
2011-12-05,83.7
2011-12-06,86.4
2011-12-07,89.10000000000001
2011-12-08,81.0
2011-12-09,78.3
2011-12-10,73.8
2011-12-11,70.2
2011-12-12,80.10000000000001
2011-12-13,81.9
2011-12-14,79.2
2011-12-15,80.10000000000001
2011-12-16,70.2
2011-12-17,72.0
2011-12-18,63.9
2011-12-19,72.9
2011-12-20,77.4
2011-12-21,81.0
2011-12-22,69.3
2011-12-23,70.2
2011-12-24,68.4
2011-12-25,85.5
2011-12-26,84.60000000000001
2011-12-27,80.10000000000001
2011-12-28,83.7
2011-12-29,81.9
2011-12-30,80.10000000000001
2011-12-31,64.8
2012-01-01,62.1
2012-01-02,74.7
2012-01-03,80.10000000000001
2012-01-04,81.0
2012-01-05,84.60000000000001
2012-01-06,83.7
2012-01-07,72.0
2012-01-08,72.0
2012-01-09,80.10000000000001
2012-01-10,82.8
2012-01-11,86.4
2012-01-12,90.0
2012-01-13,87.3
2012-01-14,77.4
2012-01-15,72.0
