date,CocaCola
2011-08-17,25.65
2011-08-18,11.399999999999999
2011-08-19,56.99999999999999
2011-08-20,32.489999999999995
2011-08-21,18.81
2011-08-22,10.829999999999998
2011-08-23,21.09
2011-08-24,21.659999999999997
2011-08-25,28.499999999999996
2011-08-26,29.639999999999997
2011-08-27,31.349999999999998
2011-08-28,30.779999999999998
2011-08-29,21.09
2011-08-30,46.169999999999995
2011-08-31,35.339999999999996
2011-09-01,46.4
2011-09-02,26.099999999999998
2011-09-03,33.64
2011-09-04,51.04
2011-09-05,24.939999999999998
2011-09-06,45.239999999999995
2011-09-07,10.44
2011-09-08,41.76
2011-09-09,21.459999999999997
2011-09-10,19.72
2011-09-11,38.86
2011-09-12,41.76
2011-09-13,23.779999999999998
2011-09-14,33.64
2011-09-15,37.699999999999996
2011-09-16,22.04
2011-09-17,19.72
2011-09-18,31.9
2011-09-19,34.22
2011-09-20,37.12
2011-09-21,41.18
2011-09-22,23.779999999999998
2011-09-23,28.419999999999998
2011-09-24,26.099999999999998
2011-09-25,38.86
2011-09-26,33.64
2011-09-27,30.159999999999997
2011-09-28,47.559999999999995
2011-09-29,41.18
2011-09-30,57.99999999999999
2011-10-01,29.2
2011-10-02,35.769999999999996
2011-10-03,62.78
2011-10-04,43.8
2011-10-05,71.53999999999999
2011-10-06,27.74
2011-10-07,59.86
2011-10-08,29.2
2011-10-09,35.769999999999996
2011-10-10,16.79
2011-10-11,46.72
2011-10-12,26.28
2011-10-13,56.21
2011-10-14,17.52
2011-10-15,50.37
2011-10-16,28.47
2011-10-17,44.53
2011-10-18,71.53999999999999
2011-10-19,43.8
2011-10-20,50.37
2011-10-21,47.449999999999996
2011-10-22,73.0
2011-10-23,50.37
2011-10-24,43.8
2011-10-25,16.06
2011-10-26,27.009999999999998
2011-10-27,27.74
2011-10-28,23.36
2011-10-29,13.87
2011-10-30,43.07
2011-10-31,68.62
2011-11-01,39.04
2011-11-02,61.0
2011-11-03,37.21
2011-11-04,42.089999999999996
2011-11-05,42.699999999999996
2011-11-06,31.11
2011-11-07,20.13
2011-11-08,44.53
2011-11-09,39.65
2011-11-10,26.84
2011-11-11,31.72
2011-11-12,38.43
2011-11-13,25.009999999999998
2011-11-14,29.89
2011-11-15,24.4
2011-11-16,46.36
2011-11-17,26.84
2011-11-18,34.769999999999996
2011-11-19,25.62
2011-11-20,41.48
2011-11-21,36.6
2011-11-22,36.6
2011-11-23,31.72
2011-11-24,39.65
2011-11-25,28.669999999999998
2011-11-26,29.28
2011-11-27,32.94
2011-11-28,25.62
2011-11-29,34.16
2011-11-30,38.43
2011-12-01,35.510000000000005
2011-12-02,59.63
2011-12-03,35.510000000000005
2011-12-04,31.490000000000002
2011-12-05,60.300000000000004
2011-12-06,26.130000000000003
2011-12-07,46.230000000000004
2011-12-08,50.25
2011-12-09,29.48
2011-12-10,40.2
2011-12-11,35.510000000000005
2011-12-12,32.160000000000004
2011-12-13,42.21
2011-12-14,57.620000000000005
2011-12-15,38.190000000000005
2011-12-16,38.190000000000005
2011-12-17,44.89
2011-12-18,32.160000000000004
2011-12-19,33.5
2011-12-20,40.2
2011-12-21,52.93
2011-12-22,19.43
2011-12-23,25.46
2011-12-24,34.84
2011-12-25,67.0
2011-12-26,27.470000000000002
2011-12-27,61.64
2011-12-28,46.230000000000004
2011-12-29,46.230000000000004
2011-12-30,36.18
2011-12-31,47.57
2012-01-01,13.5
2012-01-02,24.840000000000003
2012-01-03,19.44
2012-01-04,16.200000000000003
2012-01-05,38.88
2012-01-06,39.42
2012-01-07,31.860000000000003
2012-01-08,54.0
2012-01-09,18.900000000000002
2012-01-10,22.14
2012-01-11,28.62
2012-01-12,44.28
2012-01-13,29.160000000000004
2012-01-14,35.1
2012-01-15,23.220000000000002
2012-01-16,39.42
2012-01-17,39.96
2012-01-18,27.540000000000003
2012-01-19,25.380000000000003
2012-01-20,25.92
2012-01-21,15.120000000000001
2012-01-22,22.14
2012-01-23,49.68000000000001
2012-01-24,15.66
2012-01-25,27.540000000000003
2012-01-26,24.840000000000003
2012-01-27,29.160000000000004
2012-01-28,11.34
2012-01-29,27.0
2012-01-30,39.96
2012-01-31,33.480000000000004
2012-02-01,25.08
2012-02-02,21.659999999999997
2012-02-03,32.489999999999995
2012-02-04,11.399999999999999
2012-02-05,35.339999999999996
2012-02-06,25.65
2012-02-07,49.589999999999996
2012-02-08,23.939999999999998
2012-02-09,56.99999999999999
2012-02-10,26.22
2012-02-11,38.19
2012-02-12,27.36
2012-02-13,15.389999999999999
2012-02-14,38.19
2012-02-15,25.65
2012-02-16,28.499999999999996
2012-02-17,22.799999999999997
2012-02-18,30.779999999999998
2012-02-19,19.38
2012-02-20,16.529999999999998
2012-02-21,34.769999999999996
2012-02-22,25.08
2012-02-23,43.88999999999999
2012-02-24,31.919999999999998
