date,Pfizer
2011-08-17,45.88
2011-08-18,42.78
2011-08-19,40.92
2011-08-20,26.66
2011-08-21,25.419999999999998
2011-08-22,46.5
2011-08-23,39.06
2011-08-24,49.6
2011-08-25,37.82
2011-08-26,29.14
2011-08-27,25.419999999999998
2011-08-28,25.419999999999998
2011-08-29,44.02
2011-08-30,42.78
2011-08-31,45.26
2011-09-01,48.230000000000004
2011-09-02,33.39
2011-09-03,22.26
2011-09-04,24.91
2011-09-05,29.150000000000002
2011-09-06,40.81
2011-09-07,53.0
2011-09-08,46.64
2011-09-09,33.39
2011-09-10,20.67
2011-09-11,21.73
2011-09-12,39.75
2011-09-13,43.99
2011-09-14,40.81
2011-09-15,45.050000000000004
2011-09-16,40.81
2011-09-17,13.780000000000001
2011-09-18,28.62
2011-09-19,45.050000000000004
2011-09-20,50.35
2011-09-21,45.050000000000004
2011-09-22,48.230000000000004
2011-09-23,33.92
2011-09-24,27.03
2011-09-25,23.85
2011-09-26,37.63
2011-09-27,46.11
2011-09-28,32.86
2011-09-29,37.1
2011-09-30,34.45
2011-10-01,20.8
2011-10-02,18.2
2011-10-03,37.96
2011-10-04,49.92
2011-10-05,52.0
2011-10-06,49.4
2011-10-07,32.76
2011-10-08,27.560000000000002
2011-10-09,21.84
2011-10-10,44.72
2011-10-11,43.160000000000004
2011-10-12,47.32
2011-10-13,45.24
2011-10-14,36.92
2011-10-15,29.12
2011-10-16,26.52
2011-10-17,34.32
2011-10-18,42.120000000000005
2011-10-19,37.96
2011-10-20,48.36
2011-10-21,44.2
2011-10-22,15.08
2011-10-23,27.560000000000002
2011-10-24,40.56
2011-10-25,46.28
2011-10-26,40.04
2011-10-27,41.08
2011-10-28,33.800000000000004
2011-10-29,18.72
2011-10-30,26.0
2011-10-31,38.480000000000004
2011-11-01,50.220000000000006
2011-11-02,30.240000000000002
2011-11-03,36.18
2011-11-04,27.540000000000003
2011-11-05,16.740000000000002
2011-11-06,14.580000000000002
2011-11-07,30.78
2011-11-08,32.400000000000006
2011-11-09,36.72
2011-11-10,42.120000000000005
2011-11-11,33.480000000000004
2011-11-12,21.6
2011-11-13,19.98
2011-11-14,31.860000000000003
2011-11-15,29.700000000000003
2011-11-16,32.400000000000006
2011-11-17,32.400000000000006
2011-11-18,34.02
2011-11-19,12.96
2011-11-20,17.82
2011-11-21,27.540000000000003
2011-11-22,35.1
2011-11-23,25.92
2011-11-24,17.82
2011-11-25,14.580000000000002
2011-11-26,21.6
2011-11-27,17.82
2011-11-28,28.080000000000002
2011-11-29,37.260000000000005
2011-11-30,54.0
2011-12-01,44.0
2011-12-02,33.44
2011-12-03,22.0
2011-12-04,15.4
2011-12-05,36.08
2011-12-06,39.160000000000004
2011-12-07,39.160000000000004
2011-12-08,31.68
2011-12-09,29.92
2011-12-10,18.92
2011-12-11,17.6
2011-12-12,38.28
2011-12-13,39.6
2011-12-14,32.12
2011-12-15,33.44
2011-12-16,40.04
2011-12-17,16.28
2011-12-18,19.8
2011-12-19,37.4
2011-12-20,29.48
2011-12-21,28.16
2011-12-22,32.12
2011-12-23,23.32
2011-12-24,11.88
2011-12-25,7.92
2011-12-26,18.04
2011-12-27,20.68
2011-12-28,24.64
2011-12-29,24.64
2011-12-30,17.6
2011-12-31,16.28
2012-01-01,13.780000000000001
2012-01-02,16.96
2012-01-03,32.86
2012-01-04,34.980000000000004
2012-01-05,29.150000000000002
2012-01-06,34.45
2012-01-07,14.84
2012-01-08,13.25
2012-01-09,40.28
2012-01-10,37.1
2012-01-11,37.1
2012-01-12,37.1
2012-01-13,34.980000000000004
2012-01-14,28.09
2012-01-15,16.43
2012-01-16,27.03
2012-01-17,36.57
2012-01-18,30.21
2012-01-19,30.21
2012-01-20,35.510000000000005
2012-01-21,21.73
2012-01-22,18.02
2012-01-23,25.44
2012-01-24,41.34
2012-01-25,36.04
2012-01-26,37.1
2012-01-27,33.39
2012-01-28,25.44
2012-01-29,24.380000000000003
2012-01-30,39.75
2012-01-31,53.0
2012-02-01,100.0
2012-02-02,60.0
2012-02-03,20.0
2012-02-04,11.0
2012-02-05,11.0
2012-02-06,11.0
2012-02-07,12.0
2012-02-08,10.0
2012-02-09,9.0
2012-02-10,9.0
2012-02-11,6.0
2012-02-12,5.0
2012-02-13,8.0
2012-02-14,10.0
2012-02-15,8.0
2012-02-16,7.0
2012-02-17,8.0
2012-02-18,7.0
2012-02-19,6.0
2012-02-20,9.0
2012-02-21,11.0
2012-02-22,12.0
2012-02-23,7.0
2012-02-24,9.0
2012-02-25,4.0
2012-02-26,3.0
2012-02-27,9.0
2012-02-28,11.0
2012-02-29,11.0
2012-03-01,34.68
2012-03-02,39.78
2012-03-03,16.32
2012-03-04,19.89
2012-03-05,46.410000000000004
2012-03-06,26.52
2012-03-07,36.21
2012-03-08,29.580000000000002
2012-03-09,39.27
2012-03-10,18.87
2012-03-11,13.26
2012-03-12,30.6
2012-03-13,36.72
2012-03-14,32.13
2012-03-15,41.82
2012-03-16,38.25
2012-03-17,19.38
2012-03-18,23.46
2012-03-19,41.82
2012-03-20,41.82
2012-03-21,51.0
2012-03-22,27.54
2012-03-23,28.05
2012-03-24,2.04
2012-03-25,11.22
2012-03-26,29.580000000000002
2012-03-27,40.8
2012-03-28,44.37
2012-03-29,33.660000000000004
2012-03-30,31.62
2012-03-31,12.75
2012-04-01,14.84
2012-04-02,37.1
2012-04-03,36.57
2012-04-04,29.68
2012-04-05,32.33
2012-04-06,25.970000000000002
2012-04-07,16.96
2012-04-08,19.080000000000002
2012-04-09,36.04
2012-04-10,38.690000000000005
2012-04-11,34.980000000000004
2012-04-12,27.560000000000002
2012-04-13,23.85
2012-04-14,24.380000000000003
2012-04-15,18.02
2012-04-16,31.8
2012-04-17,35.510000000000005
2012-04-18,40.81
2012-04-19,41.870000000000005
2012-04-20,36.57
2012-04-21,28.09
2012-04-22,24.91
2012-04-23,53.0
2012-04-24,36.04
2012-04-25,34.45
2012-04-26,39.22
2012-04-27,41.34
2012-04-28,20.14
2012-04-29,20.67
2012-04-30,41.34
2012-05-01,60.0
2012-05-02,46.8
2012-05-03,46.8
2012-05-04,44.4
2012-05-05,30.599999999999998
2012-05-06,27.0
2012-05-07,48.6
2012-05-08,47.4
2012-05-09,40.199999999999996
2012-05-10,45.6
2012-05-11,43.199999999999996
2012-05-12,27.599999999999998
2012-05-13,24.0
2012-05-14,41.4
2012-05-15,42.0
2012-05-16,42.6
2012-05-17,36.0
2012-05-18,39.6
2012-05-19,25.8
2012-05-20,17.4
2012-05-21,37.199999999999996
2012-05-22,32.4
2012-05-23,39.6
2012-05-24,35.4
2012-05-25,31.2
2012-05-26,22.2
2012-05-27,15.6
2012-05-28,22.2
2012-05-29,31.799999999999997
2012-05-30,34.8
2012-05-31,37.8
2012-06-01,34.5
2012-06-02,23.5
2012-06-03,14.5
2012-06-04,36.0
2012-06-05,42.0
2012-06-06,42.5
2012-06-07,35.0
2012-06-08,50.0
2012-06-09,22.0
2012-06-10,17.0
2012-06-11,30.0
2012-06-12,33.0
2012-06-13,31.5
2012-06-14,31.0
2012-06-15,39.5
2012-06-16,18.0
2012-06-17,12.0
2012-06-18,36.0
2012-06-19,36.5
2012-06-20,41.5
2012-06-21,28.5
2012-06-22,27.5
2012-06-23,22.0
2012-06-24,17.0
2012-06-25,28.5
2012-06-26,29.5
2012-06-27,41.5
2012-06-28,27.5
2012-06-29,29.0
2012-06-30,13.5
2012-07-01,15.04
2012-07-02,32.9
2012-07-03,43.71
2012-07-04,16.919999999999998
2012-07-05,28.669999999999998
2012-07-06,36.19
2012-07-07,15.979999999999999
2012-07-08,20.209999999999997
2012-07-09,36.66
2012-07-10,36.19
2012-07-11,36.66
2012-07-12,47.0
2012-07-13,42.3
2012-07-14,19.27
2012-07-15,19.27
2012-07-16,42.3
