,Company ticker,date,Year,Month,Quarter,Open,High,Low,Close,Adj Close,Volume,company_news,world_news,company_trends,Coronavirus,presidential election,Lockdown,Pandemic,Quarantine
0,AAPL,2011-01-03,2011,1,1,46.52000045776367,47.18000030517578,46.40571594238281,47.08142852783203,40.758277893066406,111284600.0,-0.40014117647058833,0.7987,29.040000000000006,0.0,0.47,0.7000000000000001,1.04,0.31
1,AAPL,2011-01-04,2011,1,1,47.49142837524414,47.5,46.87857055664063,47.32714462280274,40.97099304199219,77270200.0,-0.3955941176470589,-0.8556,28.71,0.0,0.58,0.62,1.08,0.8
2,AAPL,2011-01-05,2011,1,1,47.07857131958008,47.762855529785156,47.07143020629883,47.71428680419922,41.30612564086914,63879900.0,-0.3774058823529412,-0.9796,27.39,0.0,0.6,0.88,1.54,0.78
3,AAPL,2011-01-06,2011,1,1,47.81714248657226,47.89285659790039,47.55714416503906,47.67571258544922,41.272743225097656,75107200.0,-0.3865,0.099,28.05,0.0,0.73,0.6,1.3,1.0
4,AAPL,2011-01-07,2011,1,1,47.71285629272461,48.04999923706055,47.41428756713867,48.01714324951172,41.56831359863281,77982800.0,-0.40014117647058833,-0.5754,29.040000000000006,0.0,0.67,0.48,1.0,0.61
5,AAPL,2011-01-08,2011,1,1,47.71285629272461,48.54142761230469,47.79071426391602,48.46928596496582,41.95973205566406,95061400.0,-0.4547058823529412,-0.9059,33.0,0.0,0.39,0.72,1.02,0.13
6,AAPL,2011-01-09,2011,1,1,47.71285629272461,48.54142761230469,47.79071426391602,48.46928596496582,41.95973205566406,95061400.0,-0.4228764705882353,0.9963,30.69,0.0,0.92,0.62,1.36,0.75
7,AAPL,2011-01-10,2011,1,1,48.4042854309082,49.03285598754883,48.16714096069336,48.92142868041992,42.35115051269531,112140000.0,0.6864,-0.719,26.73,0.0,0.64,0.56,1.06,0.49
8,AAPL,2011-01-11,2011,1,1,49.26856994628906,49.27999877929688,48.4957160949707,48.80571365356445,42.2509765625,111027000.0,0.4315,-0.9353,29.37,0.0,0.41,0.8,1.56,0.48
9,AAPL,2011-01-12,2011,1,1,49.03571319580078,49.20428466796875,48.85714340209961,49.202857971191406,42.59478759765625,75647600.0,0.3830168539325843,-0.9731,26.07,0.0,0.78,0.72,1.92,0.48
