,Company ticker,date,Year,Month,Quarter,Open,High,Low,Close,Adj Close,Volume,company_news,world_news,company_trends,Coronavirus,presidential election,Lockdown,Pandemic,Quarantine
0,FB,2012-05-18,2012,5,2,42.04999923706055,45.0,38.0,38.22999954223633,38.22999954223633,573576400.0,0.9894,-0.9165,77.76,0.0,0.88,0.8300000000000001,1.56,0.5700000000000001
1,FB,2012-05-19,2012,5,2,42.04999923706055,40.829999923706055,35.5,36.1299991607666,36.1299991607666,370884550.0,0.1082,0.961,77.76,0.0,0.88,0.33,2.04,0.58
2,FB,2012-05-20,2012,5,2,42.04999923706055,40.829999923706055,35.5,36.1299991607666,36.1299991607666,370884550.0,0.8644,0.857,73.71000000000002,0.0,0.9,0.53,1.38,0.61
3,FB,2012-05-21,2012,5,2,36.52999877929688,36.65999984741211,33.0,34.029998779296875,34.029998779296875,168192700.0,0.9865,-0.8638,66.42,0.0,1.5,0.6,1.17,0.53
4,FB,2012-05-22,2012,5,2,32.610000610351555,33.59000015258789,30.940000534057607,31.0,31.0,101786600.0,0.9814,0.9061,67.23,0.0,1.34,0.52,1.59,0.46
5,FB,2012-05-23,2012,5,2,31.3700008392334,32.5,31.36000061035156,32.0,32.0,73600000.0,0.9309999999999999,0.9615,68.04,0.0,1.38,0.66,1.62,0.47
6,FB,2012-05-24,2012,5,2,32.950000762939446,33.209999084472656,31.770000457763672,33.029998779296875,33.029998779296875,50237200.0,-0.9274,-0.4319,68.85000000000001,0.0,1.36,0.61,1.35,0.44
7,FB,2012-05-25,2012,5,2,32.900001525878906,32.950000762939446,31.11000061035156,31.90999984741211,31.90999984741211,37149800.0,-0.8539,0.912,72.09,0.0,1.22,0.76,1.86,0.32
8,FB,2012-05-26,2012,5,2,32.900001525878906,32.63500070571899,30.49500036239624,31.14249992370605,31.14249992370605,47378200.0,0.6735,0.4972,76.95,0.0,0.68,0.37,1.98,0.54
9,FB,2012-05-27,2012,5,2,32.900001525878906,32.63500070571899,30.49500036239624,31.14249992370605,31.14249992370605,47378200.0,-0.7335,-0.9322,78.57000000000002,0.0,0.74,0.53,1.44,0.7000000000000001
10,FB,2012-05-28,2012,5,2,32.900001525878906,32.32000064849853,29.88000011444092,30.375,30.375,57606600.0,0.3606,-0.4368,76.14,0.0,0.8,0.73,0.93,0.59
11,FB,2012-05-29,2012,5,2,31.479999542236328,31.690000534057607,28.649999618530273,28.84000015258789,28.84000015258789,78063400.0,0.7302,-0.9711,68.04,0.0,0.94,0.5,1.47,0.8300000000000001
12,FB,2012-05-30,2012,5,2,28.70000076293945,29.54999923706055,27.86000061035156,28.190000534057607,28.190000534057607,57267900.0,0.6467,-0.9751,67.23,0.0,1.3,0.67,1.83,0.66
13,FB,2012-05-31,2012,5,2,28.54999923706055,29.670000076293945,26.82999992370605,29.60000038146973,29.60000038146973,111639200.0,0.6700746987951809,-0.9409,69.66000000000001,0.0,1.08,0.55,1.77,1.0
14,FB,2012-06-01,2012,6,2,28.88999938964844,29.149999618530273,27.38999938964844,27.71999931335449,27.71999931335449,41855500.0,0.9124,-0.8344,83.0,0.0,0.41,0.84,1.46,0.89
15,FB,2012-06-02,2012,6,2,28.88999938964844,28.399999618530273,26.91499996185303,27.309999465942386,27.309999465942386,38542900.0,-0.7459,0.6113,77.19,0.0,0.23,0.84,1.94,1.0
16,FB,2012-06-03,2012,6,2,28.88999938964844,28.399999618530273,26.91499996185303,27.309999465942386,27.309999465942386,38542900.0,-0.8282,-0.9835,79.67999999999998,0.0,0.43,0.31,1.86,0.73
17,FB,2012-06-04,2012,6,2,27.20000076293945,27.649999618530273,26.440000534057607,26.899999618530273,26.899999618530273,35230300.0,-0.4335,-0.9535,69.72,0.0,0.52,0.8300000000000001,1.52,0.81
18,FB,2012-06-05,2012,6,2,26.70000076293945,27.76000022888184,25.75,25.8700008392334,25.8700008392334,42473400.0,0.1662,0.884,69.72,0.0,0.71,0.71,1.22,0.78
19,FB,2012-06-06,2012,6,2,26.06999969482422,27.170000076293945,25.520000457763672,26.809999465942386,26.809999465942386,61489200.0,0.3318,-0.9295,71.38,0.0,1.0,0.55,1.32,0.48
20,FB,2012-06-07,2012,6,2,27.0,27.35000038146973,26.149999618530273,26.309999465942386,26.309999465942386,26159500.0,-0.5389,-0.9405,69.72,0.0,0.5,0.56,1.48,0.55
