,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,day_of_week
0,2011-01-03,NFLX,25.0,25.838571548461914,24.78571510314941,25.48714256286621,25.48714256286621,39956000,Monday
1,2011-01-04,NFLX,25.90714263916016,26.41428565979004,25.46999931335449,25.90999984741211,25.90999984741211,44065700,Tuesday
2,2011-01-05,NFLX,25.878570556640625,26.11285781860352,25.53000068664551,25.67571449279785,25.67571449279785,31799600,Wednesday
3,2011-01-06,NFLX,25.16857147216797,25.670000076293945,25.092857360839844,25.427143096923828,25.427143096923828,31991400,Thursday
4,2011-01-07,NFLX,25.5242862701416,25.792856216430664,25.1971435546875,25.61428642272949,25.61428642272949,22155000,Friday
5,2011-01-08,NFLX,25.59785747528076,26.321428298950195,25.397143363952637,26.22714328765869,26.22714328765869,22155000,Saturday
6,2011-01-09,NFLX,25.59785747528076,26.321428298950195,25.397143363952637,26.22714328765869,26.22714328765869,22155000,Sunday
7,2011-01-10,NFLX,25.671428680419922,26.85000038146973,25.59714317321777,26.84000015258789,26.84000015258789,43674400,Monday
8,2011-01-11,NFLX,27.059999465942386,27.328571319580078,26.53857231140137,26.66428565979004,26.66428565979004,32522700,Tuesday
9,2011-01-12,NFLX,26.858572006225586,27.0,26.39285659790039,26.985713958740234,26.985713958740234,21098700,Wednesday
10,2011-01-13,NFLX,26.920000076293945,27.47857093811035,26.714284896850586,27.355714797973636,27.355714797973636,29903300,Thursday
11,2011-01-14,NFLX,27.25857162475586,27.60714340209961,26.96999931335449,27.354286193847656,27.354286193847656,19575500,Friday
12,2011-01-15,NFLX,27.282143115997314,27.663928985595703,26.997856616973877,27.432857513427734,27.432857513427734,19575500,Saturday
13,2011-01-16,NFLX,27.282143115997314,27.663928985595703,26.997856616973877,27.432857513427734,27.432857513427734,19575500,Sunday
14,2011-01-17,NFLX,27.30571460723877,27.720714569091797,27.02571392059326,27.511428833007812,27.511428833007812,19575500,Monday
15,2011-01-18,NFLX,27.35285758972168,27.834285736083984,27.08142852783203,27.66857147216797,27.66857147216797,18580800,Tuesday
16,2011-01-19,NFLX,27.54428482055664,27.69285774230957,27.002857208251953,27.26714324951172,27.26714324951172,21740600,Wednesday
17,2011-01-20,NFLX,26.68857192993164,26.88999938964844,25.899999618530273,26.428571701049805,26.428571701049805,38231200,Thursday
18,2011-01-21,NFLX,26.40857124328613,26.51142883300781,25.95571517944336,26.01285743713379,26.01285743713379,24908100,Friday
19,2011-01-22,NFLX,26.06071376800537,26.428571701049805,25.554286003112793,26.14642906188965,26.14642906188965,24908100,Saturday
20,2011-01-23,NFLX,26.06071376800537,26.428571701049805,25.554286003112793,26.14642906188965,26.14642906188965,24908100,Sunday
21,2011-01-24,NFLX,25.71285629272461,26.3457145690918,25.15285682678223,26.28000068664551,26.28000068664551,26971700,Monday
22,2011-01-25,NFLX,26.14142799377441,26.69285774230957,25.937143325805664,26.677143096923828,26.677143096923828,21464100,Tuesday
23,2011-01-26,NFLX,26.77142906188965,26.79857063293457,25.9757137298584,26.14714241027832,26.14714241027832,59841600,Wednesday
24,2011-01-27,NFLX,29.592857360839844,30.255714416503906,29.2257137298584,30.124286651611328,30.124286651611328,129042200,Thursday
25,2011-01-28,NFLX,30.24142837524414,31.14285659790039,29.80714225769043,31.13999938964844,31.13999938964844,62805400,Friday
26,2011-01-29,NFLX,30.342143058776855,31.036428451538086,29.92214298248291,30.861428260803226,30.861428260803226,62805400,Saturday
27,2011-01-30,NFLX,30.342143058776855,31.036428451538086,29.92214298248291,30.861428260803226,30.861428260803226,62805400,Sunday
28,2011-01-31,NFLX,30.44285774230957,30.93000030517578,30.03714370727539,30.58285713195801,30.58285713195801,41064100,Monday
29,2011-02-01,NFLX,30.66142845153809,30.96857070922852,30.292856216430664,30.41428565979004,30.41428565979004,28660800,Tuesday
30,2011-02-02,NFLX,29.81857109069824,30.5242862701416,29.75,30.18000030517578,30.18000030517578,33358500,Wednesday
31,2011-02-03,NFLX,30.149999618530273,30.474285125732425,29.959999084472656,30.21285629272461,30.21285629272461,21245700,Thursday
32,2011-02-04,NFLX,30.4228572845459,31.571428298950195,30.29142951965332,31.43857192993164,31.43857192993164,44262400,Friday
33,2011-02-05,NFLX,31.125,31.700714111328125,30.707143783569336,31.292142868041992,31.292142868041992,44262400,Saturday
34,2011-02-06,NFLX,31.125,31.700714111328125,30.707143783569336,31.292142868041992,31.292142868041992,44262400,Sunday
35,2011-02-07,NFLX,31.8271427154541,31.82999992370605,31.12285804748535,31.145713806152344,31.145713806152344,25432400,Monday
36,2011-02-08,NFLX,31.178571701049805,31.19857215881348,30.87714195251465,31.09000015258789,31.09000015258789,17367700,Tuesday
37,2011-02-09,NFLX,31.04142951965332,31.99714279174805,31.04142951965332,31.755714416503906,31.755714416503906,28954100,Wednesday
38,2011-02-10,NFLX,31.567142486572266,32.14285659790039,31.472856521606445,31.88571357727051,31.88571357727051,21756700,Thursday
39,2011-02-11,NFLX,32.034286499023445,33.08571243286133,31.98857116699219,33.009998321533196,33.009998321533196,46299400,Friday
40,2011-02-12,NFLX,32.8514289855957,34.224998474121094,32.749284744262695,34.18714141845703,34.18714141845703,46299400,Saturday
41,2011-02-13,NFLX,32.8514289855957,34.224998474121094,32.749284744262695,34.18714141845703,34.18714141845703,46299400,Sunday
42,2011-02-14,NFLX,33.66857147216797,35.36428451538086,33.509998321533196,35.36428451538086,35.36428451538086,78523900,Monday
43,2011-02-15,NFLX,34.784286499023445,34.950000762939446,34.001426696777344,34.398571014404304,34.398571014404304,48073900,Tuesday
44,2011-02-16,NFLX,34.672855377197266,34.98428726196289,33.76285552978516,33.959999084472656,33.959999084472656,45555300,Wednesday
45,2011-02-17,NFLX,33.69571304321289,34.542858123779304,33.43714141845703,33.66143035888672,33.66143035888672,39449200,Thursday
46,2011-02-18,NFLX,33.96857070922852,34.0528564453125,33.055713653564446,33.644287109375,33.644287109375,32113200,Friday
47,2011-02-19,NFLX,33.52535629272461,33.73285675048828,32.67428541183472,33.14750099182129,33.14750099182129,32113200,Saturday
48,2011-02-20,NFLX,33.52535629272461,33.73285675048828,32.67428541183472,33.14750099182129,33.14750099182129,32113200,Sunday
49,2011-02-21,NFLX,33.0821418762207,33.41285705566406,32.29285717010498,32.65071487426758,32.65071487426758,32113200,Monday
50,2011-02-22,NFLX,32.19571304321289,32.772857666015625,31.53000068664551,31.65714263916016,31.65714263916016,55374200,Tuesday
51,2011-02-23,NFLX,30.792856216430664,31.128570556640625,29.34142875671387,30.171428680419922,30.171428680419922,68933200,Wednesday
52,2011-02-24,NFLX,30.35714340209961,30.912857055664066,30.040000915527344,30.739999771118164,30.739999771118164,31628800,Thursday
